Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524443282023,852543361078127,0.5392914,0.97384644,9.499008
android.sensor.accelerometer,1524443282023,852543381158693,0.5823822,1.012146,9.463089
android.sensor.accelerometer,1524443282049,852543401239260,0.5536499,0.9858093,9.431961
android.sensor.accelerometer,1524443282054,852543421258791,0.50097656,0.9714508,9.455902
android.sensor.accelerometer,1524443282070,852543441339358,0.44352722,0.9427185,9.522949
android.sensor.accelerometer,1524443282089,852543461419924,0.41719055,0.9211731,9.453506
android.sensor.accelerometer,1524443282109,852543481500490,0.37887573,0.9211731,9.391266
android.sensor.accelerometer,1524443282130,852543501581057,0.41958618,0.93074036,9.419998
android.sensor.accelerometer,1524443282150,852543521631106,0.44830322,0.9283447,9.48703
android.sensor.accelerometer,1524443282170,852543541711672,0.3764801,0.89004517,9.561249
android.sensor.accelerometer,1524443282190,852543561761721,0.3429718,0.86131287,9.616318
android.sensor.accelerometer,1524443282210,852543581842287,0.34057617,0.878067,9.54689
android.sensor.accelerometer,1524443282230,852543601922854,0.29986572,0.8996124,9.525345
android.sensor.accelerometer,1524443282250,852543621972902,0.29029846,0.89004517,9.4726715
android.sensor.accelerometer,1524443282270,852543642053469,0.2639618,0.90919495,9.317047
android.sensor.accelerometer,1524443282290,852543662103518,0.24002075,0.9259491,9.343384
android.sensor.accelerometer,1524443282310,852543682184084,0.19451904,0.90919495,9.436752
android.sensor.accelerometer,1524443282330,852543702264651,0.18495178,0.90919495,9.484634
android.sensor.accelerometer,1524443282350,852543722314699,0.22564697,0.89723206,9.439148
android.sensor.accelerometer,1524443282370,852543742395266,0.25917053,0.933136,9.36972
android.sensor.accelerometer,1524443282391,852543762445315,0.29029846,0.90919495,9.489426
android.sensor.accelerometer,1524443282411,852543782495363,0.2687378,0.90200806,9.5564575
android.sensor.accelerometer,1524443282431,852543802575930,0.2567749,0.89004517,9.573227
android.sensor.accelerometer,1524443282451,852543822625979,0.2926941,0.8948364,9.542099
android.sensor.accelerometer,1524443282471,852543842706545,0.2855072,0.93074036,9.499008
android.sensor.accelerometer,1524443282492,852543862787111,0.2855072,0.93074036,9.539703
android.sensor.accelerometer,1524443282512,852543882837160,0.26156616,0.88764954,9.554062
android.sensor.accelerometer,1524443282532,852543902887209,0.27592468,0.91638184,9.537308
android.sensor.accelerometer,1524443282552,852543922967776,0.2639618,0.93792725,9.384079
android.sensor.accelerometer,1524443282572,852543943048342,0.2783203,0.933136,9.3936615
android.sensor.accelerometer,1524443282592,852543963098391,0.25437927,0.8852539,9.582794
android.sensor.accelerometer,1524443282612,852543983178957,0.19451904,0.81822205,9.750397
android.sensor.accelerometer,1524443282632,852544003229006,0.21128845,0.77511597,9.692932
android.sensor.accelerometer,1524443282653,852544023309572,0.27113342,0.83018494,9.499008
android.sensor.accelerometer,1524443282674,852544043390139,0.38127136,0.90919495,9.446335
android.sensor.accelerometer,1524443282692,852544063440188,0.45069885,0.8996124,9.582794
android.sensor.accelerometer,1524443282713,852544083520754,0.38606262,0.83258057,9.633072
android.sensor.accelerometer,1524443282734,852544103601320,0.2855072,0.7966614,9.637863
android.sensor.accelerometer,1524443282754,852544123651369,0.27352905,0.85891724,9.594772
android.sensor.accelerometer,1524443282773,852544143701418,0.30226135,0.93792725,9.558853
android.sensor.accelerometer,1524443282793,852544163781985,0.38127136,0.9906006,9.520554
android.sensor.accelerometer,1524443282814,852544183862551,0.31184387,0.933136,9.484634
android.sensor.accelerometer,1524443282834,852544203943117,0.24719238,0.9211731,9.42717
android.sensor.accelerometer,1524443282854,852544223993166,0.29507446,0.9906006,9.36972
android.sensor.accelerometer,1524443282874,852544244073733,0.3142395,0.9834137,9.422394
android.sensor.accelerometer,1524443282894,852544264154299,0.25198364,0.9115906,9.522949
android.sensor.accelerometer,1524443282914,852544284204348,0.25437927,0.9115906,9.58519
android.sensor.accelerometer,1524443282934,852544304284914,0.31663513,0.9762268,9.575623
android.sensor.accelerometer,1524443282953,852544324334963,0.3429718,1.012146,9.5325165
android.sensor.accelerometer,1524443282974,852544344415529,0.2974701,0.95947266,9.501404
android.sensor.accelerometer,1524443282994,852544364465578,0.22085571,0.9427185,9.48703
android.sensor.accelerometer,1524443283014,852544384546145,0.23522949,0.94989014,9.484634
android.sensor.accelerometer,1524443283034,852544404596193,0.23522949,0.94750977,9.436752
android.sensor.accelerometer,1524443283054,852544424676760,0.20170593,0.91877747,9.412811
android.sensor.accelerometer,1524443283082,852544444757326,0.21607971,0.9355316,9.384079
android.sensor.accelerometer,1524443283094,852544464837893,0.2567749,0.9834137,9.424789
