Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524443303599,852564946587052,-0.016357422,-0.0022125244,-0.030029297
android.sensor.gyroscope,1524443303618,852564966637101,0.0038909912,0.019088745,-0.007659912
android.sensor.gyroscope,1524443303625,852564986717667,0.011352539,-0.012863159,-0.011917114
android.sensor.gyroscope,1524443303643,852565006767716,-0.016357422,-0.06932068,-0.025772095
android.sensor.gyroscope,1524443303663,852565026848282,-0.038726807,-0.053344727,-0.019378662
android.sensor.gyroscope,1524443303683,852565046898331,-0.03340149,0.014831543,-1.9836426E-4
android.sensor.gyroscope,1524443303703,852565066978898,-0.019546509,0.040390015,0.0104522705
android.sensor.gyroscope,1524443303723,852565087059464,-0.014221191,0.00630188,0.015777588
android.sensor.gyroscope,1524443303743,852565107140031,-0.0025024414,-0.008605957,0.013641357
android.sensor.gyroscope,1524443303764,852565127190079,0.015609741,0.00630188,0.00831604
android.sensor.gyroscope,1524443303783,852565147240128,0.023071289,0.016952515,0.004058838
android.sensor.gyroscope,1524443303803,852565167320695,0.0124053955,0.0020446777,8.544922E-4
android.sensor.gyroscope,1524443303823,852565187401261,-0.0035705566,-0.007537842,-0.0023345947
android.sensor.gyroscope,1524443303843,852565207481827,-0.012084961,-0.0022125244,-0.0023345947
android.sensor.gyroscope,1524443303864,852565227531876,-0.015289307,-0.012863159,-0.006591797
android.sensor.gyroscope,1524443303883,852565247612443,-0.013153076,-0.013931274,-0.01512146
android.sensor.gyroscope,1524443303904,852565267662491,-0.009963989,-0.0032806396,-0.01512146
android.sensor.gyroscope,1524443303925,852565287743058,-0.004638672,0.0020446777,-0.0055389404
android.sensor.gyroscope,1524443303945,852565307793107,0.008148193,0.00843811,0.0029907227
android.sensor.gyroscope,1524443303965,852565327843156,0.016677856,0.016952515,0.00831604
android.sensor.gyroscope,1524443303984,852565347923722,0.014541626,0.016952515,0.00831604
android.sensor.gyroscope,1524443304004,852565367973771,-3.6621094E-4,0.025482178,0.007247925
android.sensor.gyroscope,1524443304024,852565388084855,-0.011016846,0.02973938,0.007247925
