Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524382347554,791608709553832,-8.594589,2.458252,3.877411
android.sensor.accelerometer,1524382347555,791608729603881,-8.640076,2.482193,3.8510742
android.sensor.accelerometer,1524382347572,791608749653929,-8.534729,2.4534607,3.8199615
android.sensor.accelerometer,1524382347583,791608769734496,-8.467697,2.4295197,3.8462982
android.sensor.accelerometer,1524382347603,791608789815062,-8.438965,2.4438782,3.7648926
android.sensor.accelerometer,1524382347623,791608809865111,-8.503616,2.475006,3.7194061
android.sensor.accelerometer,1524382347642,791608829945677,-8.532333,2.486969,3.7217865
android.sensor.accelerometer,1524382347663,791608849995726,-8.498825,2.4726105,3.731369
android.sensor.accelerometer,1524382347683,791608870076293,-8.448547,2.4989471,3.7936249
android.sensor.accelerometer,1524382347703,791608890126341,-8.340805,2.4989471,3.817566
android.sensor.accelerometer,1524382347723,791608910176390,-8.369537,2.4893646,3.8630524
android.sensor.accelerometer,1524382347743,791608930256957,-8.532333,2.5252838,3.8822021
android.sensor.accelerometer,1524382347763,791608950307006,-8.582626,2.486969,3.9181213
android.sensor.accelerometer,1524382347783,791608970387572,-8.534729,2.4606323,3.7816467
android.sensor.accelerometer,1524382347803,791608990468138,-8.438965,2.4606323,3.7816467
android.sensor.accelerometer,1524382347825,791609010518187,-8.359955,2.4558563,3.877411
android.sensor.accelerometer,1524382347845,791609030598754,-8.259399,2.4702148,3.865448
android.sensor.accelerometer,1524382347864,791609050679320,-8.324051,2.5444336,3.896576
android.sensor.accelerometer,1524382347884,791609070729369,-8.501221,2.6162567,4.1359863
android.sensor.accelerometer,1524382347904,791609090779418,-8.630508,2.6569672,4.375412
android.sensor.accelerometer,1524382347924,791609110829466,-8.613739,2.6856995,4.416107
android.sensor.accelerometer,1524382347946,791609130910033,-8.601776,2.7144318,4.361038
android.sensor.accelerometer,1524382347965,791609150990599,-8.589798,2.692871,4.435272
android.sensor.accelerometer,1524382347984,791609171040648,-8.738235,2.74794,4.7010193
android.sensor.accelerometer,1524382348005,791609191121215,-9.066254,2.7455444,5.050583
android.sensor.accelerometer,1524382348025,791609211201781,-9.264969,2.803009,5.3019714
android.sensor.accelerometer,1524382348045,791609231251830,-9.279327,2.8221588,5.37619
android.sensor.accelerometer,1524382348065,791609251301879,-9.329605,2.8628693,5.1990204
android.sensor.accelerometer,1524382348085,791609271351927,-9.252991,2.8389282,4.5477905
android.sensor.accelerometer,1524382348105,791609291432494,-9.09259,2.7216034,3.252533
android.sensor.accelerometer,1524382348125,791609311482543,-8.7957,2.407959,1.9812164
android.sensor.accelerometer,1524382348145,791609331563109,-8.702332,2.032074,0.4680786
android.sensor.accelerometer,1524382348165,791609351613158,-8.532333,1.6226654,-1.1336517
android.sensor.accelerometer,1524382348185,791609371693724,-8.070267,0.878067,-3.2860413
android.sensor.accelerometer,1524382348205,791609391743773,-7.656067,-0.3357849,-6.839035
android.sensor.accelerometer,1524382348225,791609411824340,-7.545929,-1.7483673,-11.103104
android.sensor.accelerometer,1524382348246,791609431874388,-7.395096,-3.4698029,-14.656097
android.sensor.accelerometer,1524382348267,791609451924437,-7.5483246,-5.701187,-16.576248
android.sensor.accelerometer,1524382348286,791609472005004,-8.369537,-8.444946,-18.010376
android.sensor.accelerometer,1524382348305,791609492055052,-8.879501,-12.529465,-19.463654
android.sensor.accelerometer,1524382348326,791609512135619,-13.32074,-17.444748,-22.741318
android.sensor.accelerometer,1524382348346,791609532185668,-21.259918,-21.414337,-19.52591
android.sensor.accelerometer,1524382348366,791609552266234,-26.742645,-24.656082,-7.657852
android.sensor.accelerometer,1524382348386,791609572316283,-33.254868,-23.130981,7.3537903
android.sensor.accelerometer,1524382348405,791609592396849,-38.433533,-17.37053,14.172485
android.sensor.accelerometer,1524382348427,791609612446898,-38.11989,-13.9444275,18.422195
android.sensor.accelerometer,1524382348446,791609632496947,-28.602936,-13.748108,30.673325
android.sensor.accelerometer,1524382348465,791609652577513,-16.20337,-10.616486,32.662903
android.sensor.accelerometer,1524382348486,791609672658080,-9.865906,-6.0100403,27.728455
android.sensor.accelerometer,1524382348506,791609692708129,-3.435089,-4.46579,21.635208
android.sensor.accelerometer,1524382348526,791609712788695,3.3189545,-4.736328,14.045593
android.sensor.accelerometer,1524382348547,791609732838744,5.567108,-3.5799255,10.830185
android.sensor.accelerometer,1524382348566,791609752888793,5.301361,-1.956665,9.379288
android.sensor.accelerometer,1524382348586,791609772969359,2.878418,-0.8050537,8.0816345
android.sensor.accelerometer,1524382348607,791609793019408,-1.0384827,0.46148682,6.032196
android.sensor.accelerometer,1524382348626,791609813099974,-3.2435455,0.86131287,5.23732
android.sensor.accelerometer,1524382348647,791609833180541,-3.0448303,0.4447174,4.042618
android.sensor.accelerometer,1524382348667,791609853230590,-2.0105286,0.10952759,3.6810913
android.sensor.accelerometer,1524382348687,791609873280638,-2.4917755,0.80145264,3.0538177
android.sensor.accelerometer,1524382348707,791609893330687,-4.5005035,2.079956,1.830368
android.sensor.accelerometer,1524382348727,791609913380736,-5.738312,2.644989,1.8638916
android.sensor.accelerometer,1524382348747,791609933461302,-6.4733276,3.0424347,2.4624481
android.sensor.accelerometer,1524382348768,791609953541869,-6.9904785,3.2674866,2.5151215
android.sensor.accelerometer,1524382348787,791609973591918,-7.759018,3.1645355,3.039444
android.sensor.accelerometer,1524382348808,791609993672484,-8.189972,3.198059,2.826355
android.sensor.accelerometer,1524382348827,791610013753050,-8.20433,3.1693268,1.8998108
android.sensor.accelerometer,1524382348848,791610033803099,-8.489243,3.052002,2.5390625
android.sensor.accelerometer,1524382348868,791610053883666,-9.200317,3.06398,2.8862152
android.sensor.accelerometer,1524382348888,791610073933715,-9.86113,3.0567932,2.4696198
android.sensor.accelerometer,1524382348908,791610093983763,-10.138855,3.0304565,2.2541504
android.sensor.accelerometer,1524382348928,791610114033812,-10.105331,2.9179382,2.2445679
android.sensor.accelerometer,1524382348948,791610134114379,-10.114914,2.7910461,2.2182312
android.sensor.accelerometer,1524382348968,791610154194945,-10.268143,2.8413239,2.0003662
android.sensor.accelerometer,1524382348988,791610174244994,-9.966461,2.700058,1.8351593
android.sensor.accelerometer,1524382349008,791610194325560,-9.6241,2.6330261,1.861496
android.sensor.accelerometer,1524382349028,791610214375609,-9.719864,2.6593628,1.8423462
android.sensor.accelerometer,1524382349049,791610234425658,-9.743805,2.6593628,1.9692383
android.sensor.accelerometer,1524382349068,791610254506224,-9.791687,2.6809082,2.1655579
android.sensor.accelerometer,1524382349088,791610274556273,-9.743805,2.644989,2.0171204
android.sensor.accelerometer,1524382349108,791610294636840,-9.4014435,2.530075,1.7681274
android.sensor.accelerometer,1524382349128,791610314686888,-9.219482,2.4893646,1.6771393
android.sensor.accelerometer,1524382349148,791610334767455,-9.128494,2.4654236,1.7537537
android.sensor.accelerometer,1524382349168,791610354817504,-9.166809,2.4534607,1.7896729
