Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524382377927,791639059275244,0.024475098,-0.027130127,0.03338623
android.sensor.gyroscope,1524382377927,791639079355811,0.012756348,-0.020736694,0.017410278
android.sensor.gyroscope,1524382377927,791639099405860,0.015945435,-0.027130127,0.0035552979
android.sensor.gyroscope,1524382377942,791639119455908,0.02659607,-0.040985107,0.004623413
android.sensor.gyroscope,1524382377961,791639139536475,0.013824463,-0.04949951,0.016342163
android.sensor.gyroscope,1524382377981,791639159617041,0.0010375977,-0.067611694,0.015274048
android.sensor.gyroscope,1524382378000,791639179667090,0.006362915,-0.07400513,0.0035552979
android.sensor.gyroscope,1524382378020,791639199747657,-0.00642395,-0.04310608,0.008880615
android.sensor.gyroscope,1524382378040,791639219828223,-0.02558899,-0.016479492,0.014205933
android.sensor.gyroscope,1524382378060,791639239878272,-0.0181427,-0.0015563965,-0.010299683
android.sensor.gyroscope,1524382378080,791639259928321,0.0042266846,-0.007949829,-0.03479004
android.sensor.gyroscope,1524382378101,791639280008887,0.045776367,-0.032455444,-0.032669067
android.sensor.gyroscope,1524382378121,791639300058936,0.088394165,-0.036712646,-0.020950317
android.sensor.gyroscope,1524382378141,791639320139502,0.10437012,-0.036712646,-0.008163452
android.sensor.gyroscope,1524382378161,791639340220069,0.062820435,-0.01222229,-0.0049743652
android.sensor.gyroscope,1524382378182,791639360270117,0.015945435,-0.0026245117,-0.010299683
android.sensor.gyroscope,1524382378202,791639380320166,0.013824463,-0.017547607,-0.010299683
android.sensor.gyroscope,1524382378221,791639400400733,0.01701355,-0.04524231,0.0014190674
android.sensor.gyroscope,1524382378242,791639420450782,0.0010375977,-0.048431396,0.01953125
android.sensor.gyroscope,1524382378261,791639440500830,-0.0074920654,-0.04310608,0.017410278
android.sensor.gyroscope,1524382378281,791639460581397,-3.0517578E-5,-0.032455444,0.004623413
android.sensor.gyroscope,1524382378301,791639480661963,0.009552002,-0.016479492,-0.0060272217
android.sensor.gyroscope,1524382378322,791639500712012,0.01701355,-0.027130127,-0.0049743652
android.sensor.gyroscope,1524382378342,791639520762061,0.035125732,-0.0526886,0.014205933
android.sensor.gyroscope,1524382378362,791639540842627,0.06175232,-0.081451416,0.026992798
android.sensor.gyroscope,1524382378402,791639560892676,0.10223389,-0.100631714,0.039779663
android.sensor.gyroscope,1524382378402,791639580973242,0.1352539,-0.1272583,0.060012817
android.sensor.gyroscope,1524382378421,791639601053809,0.15550232,-0.16455078,0.07066345
android.sensor.gyroscope,1524382378442,791639621103858,0.1586914,-0.1656189,0.061080933
android.sensor.gyroscope,1524382378466,791639641184424,0.13420105,-0.1464386,0.028060913
android.sensor.gyroscope,1524382378482,791639661234473,0.10649109,-0.12939453,0.02166748
android.sensor.gyroscope,1524382378503,791639681284522,0.15336609,-0.13365173,0.025924683
android.sensor.gyroscope,1524382378523,791639701365088,0.23751831,-0.100631714,0.020599365
android.sensor.gyroscope,1524382378543,791639721415137,0.24072266,0.006958008,0.0056915283
android.sensor.gyroscope,1524382378563,791639741495703,0.13632202,0.1784668,-0.028396606
android.sensor.gyroscope,1524382378584,791639761545752,-0.020263672,0.3542328,-0.09870911
android.sensor.gyroscope,1524382378603,791639781626319,-0.13851929,0.5449219,-0.19778442
android.sensor.gyroscope,1524382378623,791639801676367,-0.10762024,0.81655884,-0.33413696
android.sensor.gyroscope,1524382378643,791639821756934,0.035125732,1.2426605,-0.63134766
android.sensor.gyroscope,1524382378663,791639841806983,0.046844482,1.6069794,-1.0627747
android.sensor.gyroscope,1524382378683,791639861857032,-0.16514587,1.727356,-1.5091248
android.sensor.gyroscope,1524382378704,791639881937598,-0.5731354,2.0341644,-1.8393555
android.sensor.gyroscope,1524382378723,791639902018164,-1.4008484,2.6626587,-2.0523987
android.sensor.gyroscope,1524382378744,791639922068213,-3.335373,3.1239166,-2.0694427
android.sensor.gyroscope,1524382378763,791639942148780,-6.011322,3.2123413,-2.1493378
android.sensor.gyroscope,1524382378784,791639962198828,-8.344238,3.7918396,-2.151474
android.sensor.gyroscope,1524382378803,791639982248877,-8.722412,4.6174164,-1.9022064
android.sensor.gyroscope,1524382378824,791640002329444,-6.845413,3.335907,-1.9373627
android.sensor.gyroscope,1524382378845,791640022379492,-7.1671295,-1.0252838,-1.6475983
android.sensor.gyroscope,1524382378864,791640042460059,-7.5612793,-2.4719086,0.01953125
android.sensor.gyroscope,1524382378884,791640062510108,-6.0379486,0.96676636,1.8411407
android.sensor.gyroscope,1524382378904,791640082560157,-4.7788086,4.370285,1.9103851
android.sensor.gyroscope,1524382378924,791640102640723,-4.3825226,4.051773,1.2499084
android.sensor.gyroscope,1524382378945,791640122690772,-3.6624146,2.4975433,1.5343475
android.sensor.gyroscope,1524382378965,791640142771338,-2.6951447,1.1542511,2.243805
android.sensor.gyroscope,1524382378986,791640162851905,-2.5044708,-0.116607666,2.306656
android.sensor.gyroscope,1524382379004,791640182901953,-2.6248474,-0.5682831,1.9455261
android.sensor.gyroscope,1524382379024,791640202982520,-2.4373474,-0.1506958,1.5588379
android.sensor.gyroscope,1524382379046,791640223032569,-2.0027313,0.67807007,1.4704285
android.sensor.gyroscope,1524382379065,791640243082617,-1.5404053,1.1680908,1.3127594
android.sensor.gyroscope,1524382379085,791640263163184,-1.2122955,1.1020508,0.812088
android.sensor.gyroscope,1524382379105,791640283243750,-1.0301361,0.6557007,0.18571472
android.sensor.gyroscope,1524382379124,791640303293799,-0.98114014,0.068740845,-0.23506165
android.sensor.gyroscope,1524382379144,791640323374366,-0.9055023,-0.30729675,-0.32774353
android.sensor.gyroscope,1524382379165,791640343424414,-0.5752716,-0.63327026,-0.27340698
android.sensor.gyroscope,1524382379185,791640363504981,-0.18858337,-0.8963928,-0.15942383
android.sensor.gyroscope,1524382379204,791640383555030,-0.005355835,-0.8931885,0.012084961
android.sensor.gyroscope,1524382379224,791640403605078,0.01701355,-0.67375183,0.16653442
android.sensor.gyroscope,1524382379245,791640423655127,-0.050094604,-0.504364,0.2272644
android.sensor.gyroscope,1524382379265,791640443735694,-0.087387085,-0.41381836,0.26454163
android.sensor.gyroscope,1524382379285,791640463785742,-0.036254883,-0.2902527,0.29223633
android.sensor.gyroscope,1524382379305,791640483866309,0.06175232,-0.20077515,0.24324036
android.sensor.gyroscope,1524382379325,791640503916358,0.1309967,-0.22207642,0.16015625
android.sensor.gyroscope,1524382379345,791640523996924,0.09690857,-0.36268616,0.1058197
android.sensor.gyroscope,1524382379365,791640544077491,0.1352539,-0.4990387,0.08558655
android.sensor.gyroscope,1524382379386,791640564127539,0.24497986,-0.6162262,0.08770752
android.sensor.gyroscope,1524382379406,791640584208106,0.24391174,-0.7781372,0.06854248
android.sensor.gyroscope,1524382379425,791640604258155,0.18319702,-0.93685913,0.025924683
android.sensor.gyroscope,1524382379446,791640624308203,0.0990448,-1.1211548,0.022735596
android.sensor.gyroscope,1524382379466,791640644388770,0.032989502,-1.3342133,0.062149048
android.sensor.gyroscope,1524382379486,791640664438819,-0.0149383545,-1.5994568,0.112213135
android.sensor.gyroscope,1524382379506,791640684488867,-0.008544922,-1.84021,0.16441345
android.sensor.gyroscope,1524382379526,791640704569434,0.041519165,-2.0063934,0.14311218
android.sensor.gyroscope,1524382379546,791640724619483,-0.0415802,-2.0894775,0.062149048
android.sensor.gyroscope,1524382379566,791640744700049,-0.14703369,-1.9872131,0.03338623
android.sensor.gyroscope,1524382379586,791640764750098,0.013824463,-1.6963959,0.08131409
android.sensor.gyroscope,1524382379606,791640784830664,0.16722107,-1.5749512,0.114349365
android.sensor.gyroscope,1524382379627,791640804911231,0.14697266,-1.6868134,0.088775635
android.sensor.gyroscope,1524382379646,791640824961280,0.11715698,-1.7975922,0.062149048
android.sensor.gyroscope,1524382379666,791640845011328,0.119277954,-1.9776306,0.037643433
android.sensor.gyroscope,1524382379687,791640865091895,-0.031982422,-2.1533966,-0.022018433
android.sensor.gyroscope,1524382379706,791640885141944,-0.18858337,-2.1970673,-0.07740784
android.sensor.gyroscope,1524382379727,791640905222510,-0.19390869,-2.092682,-0.043319702
android.sensor.gyroscope,1524382379746,791640925272559,-0.23439026,-2.0149078,0.1377716
