Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524443227263,852488595740907,-0.65541077,4.28981,-8.8741
android.sensor.accelerometer,1524443227263,852488615821473,-0.4806366,4.3496704,-8.969864
android.sensor.accelerometer,1524443227293,852488635871522,-0.33699036,4.2203827,-8.780731
android.sensor.accelerometer,1524443227293,852488655952089,-0.27952576,4.047989,-8.589188
android.sensor.accelerometer,1524443227304,852488676032655,-0.29867554,3.9785614,-8.725662
android.sensor.accelerometer,1524443227324,852488696082704,-0.23164368,3.964203,-8.840576
android.sensor.accelerometer,1524443227346,852488716163270,-0.18615723,4.021652,-8.938751
android.sensor.accelerometer,1524443227364,852488736243837,-0.11911011,3.9282837,-8.842972
android.sensor.accelerometer,1524443227385,852488756293885,-0.044891357,3.7175903,-8.572433
android.sensor.accelerometer,1524443227405,852488776343934,-0.0640564,3.5595703,-8.491028
android.sensor.accelerometer,1524443227425,852488796424501,-0.1550293,3.5452118,-8.713684
android.sensor.accelerometer,1524443227445,852488816505067,-0.23883057,3.5643616,-8.871704
android.sensor.accelerometer,1524443227465,852488836555116,-0.3106537,3.5284576,-8.811859
android.sensor.accelerometer,1524443227485,852488856605165,-0.2460022,3.5212708,-8.747208
android.sensor.accelerometer,1524443227505,852488876685731,-0.17897034,3.5883026,-8.742416
android.sensor.accelerometer,1524443227525,852488896766297,-0.24839783,3.6984406,-8.845367
android.sensor.accelerometer,1524443227546,852488916816346,-0.32980347,3.9163208,-9.080002
android.sensor.accelerometer,1524443227566,852488936896913,-0.45429993,4.0192566,-9.175766
android.sensor.accelerometer,1524443227585,852488956946962,-0.48542786,4.0408173,-9.0273285
android.sensor.accelerometer,1524443227605,852488977027528,-0.30825806,4.3496704,-9.2643585
android.sensor.accelerometer,1524443227626,852488997108094,-0.2124939,4.483734,-9.578003
android.sensor.accelerometer,1524443227646,852489017179269,-0.21488953,4.54599,-9.324219
android.sensor.accelerometer,1524443227666,852489037259836,-0.43754578,5.1253815,-8.993805
android.sensor.accelerometer,1524443227686,852489057340402,-0.9211731,5.9585724,-8.294708
android.sensor.accelerometer,1524443227706,852489077390451,-1.9698334,6.803726,-7.049713
android.sensor.accelerometer,1524443227726,852489097471017,-3.1166534,7.0431366,-5.325897
android.sensor.accelerometer,1524443227746,852489117521066,-4.44783,5.7526703,-2.6946716
android.sensor.accelerometer,1524443227767,852489137601632,-5.1277924,4.426285,-0.29566956
android.sensor.accelerometer,1524443227787,852489157651681,-5.4725494,3.3177643,0.5853882
android.sensor.accelerometer,1524443227807,852489177732248,-3.7822418,0.6218872,2.7952423
android.sensor.accelerometer,1524443227827,852489197782297,0.3980255,-4.4226837,8.469498
android.sensor.accelerometer,1524443227847,852489217862863,1.9375,-8.933365,9.48703
android.sensor.accelerometer,1524443227867,852489237912912,0.0053863525,-16.558899,6.398514
android.sensor.accelerometer,1524443227888,852489257993478,-4.7614746,-26.377518,8.979462
android.sensor.accelerometer,1524443227907,852489278074045,-9.530716,-34.29036,18.532318
android.sensor.accelerometer,1524443227927,852489298124093,-14.103653,-39.07637,44.483078
android.sensor.accelerometer,1524443227948,852489318204660,-19.404404,-36.129105,77.96359
android.sensor.accelerometer,1524443227968,852489338254709,-1.4670563,-34.03418,64.13229
android.sensor.accelerometer,1524443227987,852489358335275,4.7339325,-46.42656,50.0065
android.sensor.accelerometer,1524443228007,852489378415841,8.595779,-66.489975,46.838974
android.sensor.accelerometer,1524443228027,852489398496408,35.181,-79.33008,11.730392
android.sensor.accelerometer,1524443228047,852489418546457,45.306076,-71.709335,-56.07579
android.sensor.accelerometer,1524443228068,852489438596506,56.479813,-52.098434,-72.021164
android.sensor.accelerometer,1524443228088,852489458677072,61.727905,-25.048737,-74.28609
android.sensor.accelerometer,1524443228108,852489478757638,29.068604,-2.4642334,-74.774506
android.sensor.accelerometer,1524443228128,852489498807687,25.668823,3.5308533,-35.298904
android.sensor.accelerometer,1524443228149,852489518888254,32.090073,3.6673126,2.5869446
android.sensor.accelerometer,1524443228168,852489538938302,9.974838,0.7008972,-11.708832
android.sensor.accelerometer,1524443228188,852489558988351,-2.0560303,1.9099731,-18.781311
android.sensor.accelerometer,1524443228207,852489579068918,-4.1102448,2.3768463,-13.703201
android.sensor.accelerometer,1524443228228,852489599149484,-4.1844635,1.9650421,-11.150986
android.sensor.accelerometer,1524443228248,852489619230050,-1.2372131,2.6354218,-9.740799
android.sensor.accelerometer,1524443228269,852489639310617,3.989334,3.8181458,-10.365692
android.sensor.accelerometer,1524443228289,852489659360666,5.174469,3.5092926,-10.629059
android.sensor.accelerometer,1524443228308,852489679441232,3.589508,3.4757843,-11.850098
android.sensor.accelerometer,1524443228328,852489699491281,2.519287,3.561966,-11.699265
android.sensor.accelerometer,1524443228349,852489719571847,2.4857788,3.380005,-9.855728
android.sensor.accelerometer,1524443228369,852489739621896,1.9542694,3.0735474,-8.392868
android.sensor.accelerometer,1524443228389,852489759702463,1.6430206,3.1381989,-8.445541
android.sensor.accelerometer,1524443228411,852489779783029,3.16333,3.957016,-8.50061
android.sensor.accelerometer,1524443228429,852489799833078,4.523239,4.7255554,-8.280334
android.sensor.accelerometer,1524443228448,852489819883127,4.6908417,5.017639,-8.1414795
android.sensor.accelerometer,1524443228468,852489839963693,4.415497,4.680069,-7.993042
android.sensor.accelerometer,1524443228488,852489860044259,3.3548737,4.182068,-7.8637543
android.sensor.accelerometer,1524443228508,852489880094308,2.9718018,4.28981,-7.9283905
android.sensor.accelerometer,1524443228529,852489900174875,4.159317,5.0415955,-7.62912
android.sensor.accelerometer,1524443228549,852489920255441,5.057144,5.498886,-7.902054
android.sensor.accelerometer,1524443228569,852489940305490,4.5759125,4.9386444,-7.681793
android.sensor.accelerometer,1524443228589,852489960386056,4.226364,4.6824646,-5.617981
android.sensor.accelerometer,1524443228609,852489980466623,4.4801483,4.854843,-4.1934357
android.sensor.accelerometer,1524443228629,852490000516672,5.993286,5.731125,-4.878174
android.sensor.accelerometer,1524443228649,852490020597238,7.0275726,6.1453094,-6.5756683
android.sensor.accelerometer,1524443228669,852490040677804,6.7905426,5.352829,-6.475113
android.sensor.accelerometer,1524443228689,852490060727853,5.3061523,3.968979,-3.930069
android.sensor.accelerometer,1524443228709,852490080808420,4.3676147,3.2507324,-0.7888794
android.sensor.accelerometer,1524443228729,852490100858468,4.5878906,2.5516205,0.8894501
android.sensor.accelerometer,1524443228749,852490120908517,3.194458,2.4438782,4.574127
android.sensor.accelerometer,1524443228769,852490140989084,2.2008667,1.5101471,6.28598
android.sensor.accelerometer,1524443228789,852490161069650,2.1697388,1.3521271,6.810318
android.sensor.accelerometer,1524443228809,852490181119699,3.5440063,2.281067,9.838974
android.sensor.accelerometer,1524443228829,852490201200265,2.4761963,1.9147644,10.289093
android.sensor.accelerometer,1524443228849,852490221280832,0.8170166,0.29148865,9.015381
android.sensor.accelerometer,1524443228869,852490241361398,-0.66978455,1.8046265,10.511749
android.sensor.accelerometer,1524443228890,852490261411447,-0.98820496,2.4845734,12.25473
android.sensor.accelerometer,1524443228909,852490281492013,-0.7368164,0.43992615,10.981018
android.sensor.accelerometer,1524443228929,852490301542062,-0.49021912,-0.0077819824,12.656952
android.sensor.accelerometer,1524443228949,852490321622629,-0.8158264,0.6649933,11.823776
android.sensor.accelerometer,1524443228970,852490341703195,0.6302643,1.6944885,11.3784485
android.sensor.accelerometer,1524443228990,852490361753244,2.6677399,1.7687073,11.148605
android.sensor.accelerometer,1524443229010,852490381833810,0.35014343,1.0312958,10.044876
android.sensor.accelerometer,1524443229030,852490401883859,-1.7639313,0.68414307,11.098328
android.sensor.accelerometer,1524443229050,852490421964425,0.24002075,0.1598053,10.339371
android.sensor.accelerometer,1524443229070,852490442014474,1.427536,1.249176,8.603577
android.sensor.accelerometer,1524443229091,852490462095041,1.7220306,1.5269012,8.634689
