Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524418995476,828256802503729,2.0452423,8.592194,-2.7545166
android.sensor.accelerometer,1524418995476,828256822584295,1.9518738,8.585007,-2.819168
android.sensor.accelerometer,1524418995476,828256842634344,1.7770844,8.513184,-3.032257
android.sensor.accelerometer,1524418995499,828256862684393,1.7172394,8.484451,-3.1304169
android.sensor.accelerometer,1524418995511,828256882764959,1.7603302,8.61853,-3.0250702
android.sensor.accelerometer,1524418995532,828256902845526,1.7459717,8.872314,-2.9723969
android.sensor.accelerometer,1524418995551,828256922926092,1.6693573,9.001602,-3.3889923
android.sensor.accelerometer,1524418995572,828256943006658,1.7675171,8.987228,-3.6834717
android.sensor.accelerometer,1524418995592,828256963056707,1.6118927,8.901047,-3.2956085
android.sensor.accelerometer,1524418995612,828256983106756,1.506546,8.838791,-2.7664948
android.sensor.accelerometer,1524418995633,828257003156805,1.5903473,8.841187,-2.637207
android.sensor.accelerometer,1524418995653,828257023237371,1.6549835,8.819641,-2.7736816
android.sensor.accelerometer,1524418995674,828257043287420,1.7220306,8.798096,-3.2860413
android.sensor.accelerometer,1524418995693,828257063337469,1.5759735,8.750214,-3.4248962
android.sensor.accelerometer,1524418995713,828257083418035,1.3413544,8.642471,-3.0633698
android.sensor.accelerometer,1524418995733,828257103498602,1.2599487,8.534729,-2.723404
android.sensor.accelerometer,1524418995753,828257123548651,1.2192383,8.477264,-2.534256
android.sensor.accelerometer,1524418995773,828257143598699,1.161789,8.429382,-2.5558014
android.sensor.accelerometer,1524418995793,828257163648748,1.0229187,8.300095,-2.64917
android.sensor.accelerometer,1524418995813,828257183729315,0.8672943,8.070251,-2.6084747
android.sensor.accelerometer,1524418995833,828257203809881,0.76194763,7.8140717,-2.5701752
android.sensor.accelerometer,1524418995854,828257223859930,0.52253723,7.4094543,-2.0937195
android.sensor.accelerometer,1524418995873,828257243909979,0.3764801,6.5834503,-1.24617
android.sensor.accelerometer,1524418995893,828257263990545,0.7164612,5.115814,-0.3986206
android.sensor.accelerometer,1524418995913,828257284040594,1.9087677,2.542038,1.1288757
android.sensor.accelerometer,1524418995933,828257304090643,3.6158447,-1.6549988,4.581314
android.sensor.accelerometer,1524418995953,828257324171209,6.3117065,-6.9318085,12.082352
android.sensor.accelerometer,1524418995973,828257344221258,9.634857,-13.410522,21.283264
android.sensor.accelerometer,1524418995994,828257364301824,11.729782,-21.14859,27.57283
android.sensor.accelerometer,1524418996014,828257384351873,12.80957,-26.947342,28.846542
android.sensor.accelerometer,1524418996033,828257404432440,18.799866,-32.671875,21.534653
android.sensor.accelerometer,1524418996053,828257424482488,28.843536,-37.836166,13.140579
android.sensor.accelerometer,1524418996074,828257444532537,41.281418,-40.551193,9.364929
android.sensor.accelerometer,1524418996094,828257464613104,49.732956,-41.506485,6.202179
