Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524418989075,828250394909135,0.06163025,0.0026855469,-0.0010375977
android.sensor.gyroscope,1524418989075,828250414959184,0.06376648,-0.010101318,-0.015960693
android.sensor.gyroscope,1524418989075,828250435039750,0.02861023,0.0016174316,-0.026611328
android.sensor.gyroscope,1524418989100,828250455120317,0.01689148,-0.025009155,-0.047912598
android.sensor.gyroscope,1524418989112,828250475170366,-1.5258789E-4,-0.021820068,-0.051101685
android.sensor.gyroscope,1524418989131,828250495220415,-0.04170227,0.028244019,-0.029800415
android.sensor.gyroscope,1524418989152,828250515300981,-0.02571106,0.042099,-0.022354126
android.sensor.gyroscope,1524418989171,828250535351030,0.024353027,-0.020751953,-0.05644226
android.sensor.gyroscope,1524418989191,828250555431596,0.06376648,-0.17414856,-0.1416626
android.sensor.gyroscope,1524418989212,828250575512163,0.03819275,-0.260437,-0.20344543
android.sensor.gyroscope,1524418989232,828250595562211,-0.040634155,-0.21676636,-0.16508484
android.sensor.gyroscope,1524418989252,828250615642778,-0.09069824,-0.16882324,-0.07774353
android.sensor.gyroscope,1524418989272,828250635692827,-0.083236694,-0.120895386,-0.015960693
android.sensor.gyroscope,1524418989292,828250655773393,-0.033172607,-0.052703857,0.0064086914
android.sensor.gyroscope,1524418989312,828250675823442,0.050979614,-0.062301636,0.0021514893
android.sensor.gyroscope,1524418989332,828250695873491,0.12236023,-0.107040405,0.020263672
android.sensor.gyroscope,1524418989352,828250715923540,0.095718384,-0.052703857,0.07992554
android.sensor.gyroscope,1524418989372,828250736004106,-0.0065460205,0.022918701,0.1321106
android.sensor.gyroscope,1524418989392,828250756084672,-0.08216858,0.028244019,0.14596558
android.sensor.gyroscope,1524418989412,828250776134721,-0.11413574,0.029312134,0.12466431
android.sensor.gyroscope,1524418989434,828250796184770,-0.09176636,0.0026855469,0.071395874
android.sensor.gyroscope,1524418989454,828250816265336,-0.09176636,-0.051651,0.052215576
android.sensor.gyroscope,1524418989473,828250836315385,-0.3293152,-0.03779602,0.20881653
android.sensor.gyroscope,1524418989494,828250856365434,-0.93013,0.16992188,0.66793823
android.sensor.gyroscope,1524418989513,828250876446000,-1.8878021,0.83251953,1.4615631
android.sensor.gyroscope,1524418989533,828250896526567,-2.699524,1.6165619,2.2306824
android.sensor.gyroscope,1524418989553,828250916576616,-2.076355,2.3121796,2.623764
android.sensor.gyroscope,1524418989573,828250936626665,0.99053955,2.3143005,2.6450806
android.sensor.gyroscope,1524418989594,828250956676713,6.216736,1.9340057,2.6440125
android.sensor.gyroscope,1524418989613,828250976757280,11.08606,3.03656,2.3425446
android.sensor.gyroscope,1524418989634,828250996807329,14.087967,4.7654877,1.969696
android.sensor.gyroscope,1524418989654,828251016857377,14.150818,7.2337036,2.9007416
android.sensor.gyroscope,1524418989674,828251036937944,11.87648,10.883301,5.0355225
android.sensor.gyroscope,1524418989695,828251057018510,9.706543,11.942169,5.936737
android.sensor.gyroscope,1524418989714,828251077068559,8.68602,9.477142,3.481308
android.sensor.gyroscope,1524418989734,828251097118608,8.027679,8.328796,1.2751465
android.sensor.gyroscope,1524418989754,828251117168657,6.5118103,11.722717,2.3926086
android.sensor.gyroscope,1524418989774,828251137249223,6.203949,12.23938,3.4664001
android.sensor.gyroscope,1524418989794,828251157299272,7.481201,9.071274,3.1233826
android.sensor.gyroscope,1524418989814,828251177379838,7.825287,7.845154,2.8346863
android.sensor.gyroscope,1524418989835,828251197460405,7.5664215,6.5157166,2.3308258
android.sensor.gyroscope,1524418989856,828251217510454,7.3597565,4.7622833,1.3284149
android.sensor.gyroscope,1524418989874,828251237591020,6.5118103,3.704483,0.503891
android.sensor.gyroscope,1524418989895,828251257641069,5.2217712,3.0727692,0.1789856
