Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524443341978,852603323865112,-1.1414337,8.513184,-3.3195496
android.sensor.accelerometer,1524443341979,852603343915161,-1.08638,8.527542,-3.1208344
android.sensor.accelerometer,1524443341994,852603363995728,-0.97384644,8.568253,-3.1615295
android.sensor.accelerometer,1524443342013,852603384076294,-0.9403229,8.563461,-3.3458862
android.sensor.accelerometer,1524443342033,852603404126343,-0.9427185,8.596985,-3.2692719
android.sensor.accelerometer,1524443342053,852603424176392,-0.9618683,8.644867,-3.1280212
android.sensor.accelerometer,1524443342072,852603444256958,-0.9977875,8.67598,-3.1567535
android.sensor.accelerometer,1524443342092,852603464337524,-1.115097,8.647263,-3.0035248
android.sensor.accelerometer,1524443342113,852603484418091,-1.1605988,8.644867,-3.0274658
android.sensor.accelerometer,1524443342133,852603504468140,-1.067215,8.709503,-3.1184387
android.sensor.accelerometer,1524443342153,852603524548706,-0.8852539,8.728653,-3.0466156
android.sensor.accelerometer,1524443342172,852603544629273,-0.6266937,8.7957,-3.1974487
android.sensor.accelerometer,1524443342193,852603564709839,-0.5668335,8.757385,-3.3482819
android.sensor.accelerometer,1524443342213,852603584759888,-0.7440033,8.642471,-3.226181
android.sensor.accelerometer,1524443342234,852603604809937,-1.0456696,8.549088,-3.1328125
android.sensor.accelerometer,1524443342254,852603624890503,-1.2276306,8.5203705,-3.075348
android.sensor.accelerometer,1524443342274,852603644940552,-1.2707214,8.6041565,-2.9604187
android.sensor.accelerometer,1524443342294,852603664990601,-1.1486206,8.644867,-2.9604187
android.sensor.accelerometer,1524443342314,852603685071167,-0.90919495,8.673599,-3.20224
android.sensor.accelerometer,1524443342334,852603705151733,-0.8421631,8.757385,-3.341095
android.sensor.accelerometer,1524443342354,852603725201782,-0.9906006,8.723877,-3.3147583
android.sensor.accelerometer,1524443342374,852603745282349,-0.9929962,8.666412,-3.6834717
android.sensor.accelerometer,1524443342394,852603765332398,-0.97384644,8.649643,-4.2365265
android.sensor.accelerometer,1524443342414,852603785412964,-0.9810333,8.73584,-4.74411
android.sensor.accelerometer,1524443342434,852603805463013,-0.99539185,8.75499,-5.404907
android.sensor.accelerometer,1524443342454,852603825543579,-0.7440033,8.781326,-6.036972
