Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524443334815,852596132060966,0.05821228,0.007369995,-0.006591797
android.sensor.gyroscope,1524443334815,852596152141532,0.028396606,0.004180908,0.004058838
android.sensor.gyroscope,1524443334815,852596172222099,-0.027008057,0.00843811,0.01789856
android.sensor.gyroscope,1524443334832,852596192272147,-0.03126526,-9.1552734E-5,0.0104522705
android.sensor.gyroscope,1524443334848,852596212322196,0.007080078,-0.019256592,-0.016189575
android.sensor.gyroscope,1524443334869,852596232402763,-0.013153076,-0.01499939,-0.033233643
android.sensor.gyroscope,1524443334888,852596252483329,-0.04724121,0.003112793,-0.017242432
android.sensor.gyroscope,1524443334909,852596272563896,-0.051498413,-0.0011444092,-0.006591797
android.sensor.gyroscope,1524443334929,852596292613944,-0.03340149,-0.009674072,-0.014053345
android.sensor.gyroscope,1524443334949,852596312663993,-0.018478394,-0.008605957,-0.014053345
android.sensor.gyroscope,1524443334969,852596332744560,-0.023803711,0.010574341,0.005126953
android.sensor.gyroscope,1524443334989,852596352825126,6.866455E-4,-0.0011444092,0.021102905
android.sensor.gyroscope,1524443335009,852596372905692,0.05821228,-0.037368774,0.016845703
android.sensor.gyroscope,1524443335029,852596392955741,0.061416626,-0.04057312,0.02217102
android.sensor.gyroscope,1524443335049,852596413036308,-0.011016846,0.003112793,0.04347229
android.sensor.gyroscope,1524443335069,852596433116874,-0.04510498,0.03187561,0.049865723
android.sensor.gyroscope,1524443335089,852596453166923,-0.08772278,0.07235718,0.02961731
android.sensor.gyroscope,1524443335109,852596473216972,-0.18147278,0.09259033,0.009384155
android.sensor.gyroscope,1524443335129,852596493297538,-0.19319153,0.0393219,-1.9836426E-4
android.sensor.gyroscope,1524443335149,852596513347587,-0.15908813,0.026550293,0.009384155
android.sensor.gyroscope,1524443335169,852596533428153,-0.106903076,0.013763428,0.028564453
android.sensor.gyroscope,1524443335189,852596553478202,-0.055770874,0.026550293,0.046661377
android.sensor.gyroscope,1524443335209,852596573558769,-0.079193115,0.03187561,0.042404175
android.sensor.gyroscope,1524443335230,852596593639335,-0.116485596,-0.12365723,0.023223877
android.sensor.gyroscope,1524443335250,852596613689384,-0.048309326,-0.32499695,0.037078857
android.sensor.gyroscope,1524443335270,852596633769950,0.09869385,-0.38464355,0.024291992
android.sensor.gyroscope,1524443335290,852596653850517,0.31814575,-0.48158264,-0.008728027
android.sensor.gyroscope,1524443335310,852596673900565,0.62068176,-0.9034271,0.01789856
android.sensor.gyroscope,1524443335331,852596693981132,0.8901825,-1.6107635,0.24906921
android.sensor.gyroscope,1524443335350,852596714031181,0.9828644,-2.2115784,0.6485443
android.sensor.gyroscope,1524443335370,852596734111747,1.1746216,-2.4651031,1.074646
android.sensor.gyroscope,1524443335391,852596754161796,1.4558411,-2.5482025,1.6743927
android.sensor.gyroscope,1524443335411,852596774211845,1.5890045,-2.5066528,2.6054382
android.sensor.gyroscope,1524443335431,852596794292411,1.2822113,-2.0603027,3.719696
android.sensor.gyroscope,1524443335451,852596814372978,0.5940399,-1.3092957,4.674179
android.sensor.gyroscope,1524443335471,852596834423026,0.24783325,-0.8949127,5.2536774
android.sensor.gyroscope,1524443335491,852596854503593,0.61428833,-1.0717468,5.4326477
android.sensor.gyroscope,1524443335511,852596874584159,1.2310791,-1.7226257,5.3687286
android.sensor.gyroscope,1524443335531,852596894634208,1.9863434,-2.3596497,5.306946
android.sensor.gyroscope,1524443335551,852596914714774,2.982376,-2.6643066,5.4283752
android.sensor.gyroscope,1524443335571,852596934764823,4.0998383,-2.570572,5.899231
android.sensor.gyroscope,1524443335591,852596954845390,4.8380585,-1.3604279,6.6054993
android.sensor.gyroscope,1524443335611,852596974925956,4.841263,0.6678314,7.224411
android.sensor.gyroscope,1524443335631,852596994976005,4.7091675,2.2582703,7.6782227
android.sensor.gyroscope,1524443335654,852597015056571,4.7869263,3.014618,7.3724976
android.sensor.gyroscope,1524443335671,852597035106620,5.5262146,2.5277863,5.882187
android.sensor.gyroscope,1524443335692,852597055187187,6.641556,2.061203,3.8006592
android.sensor.gyroscope,1524443335712,852597075267753,7.155014,2.6556244,1.9407043
android.sensor.gyroscope,1524443335733,852597095317802,7.4202576,3.1328583,0.15106201
android.sensor.gyroscope,1524443335754,852597115367851,7.9156036,2.5544128,-2.1371307
android.sensor.gyroscope,1524443335772,852597135448417,8.360886,1.4795685,-4.5052032
android.sensor.gyroscope,1524443335793,852597155498466,7.649292,0.7424011,-6.2288055
android.sensor.gyroscope,1524443335813,852597175579032,5.8085175,0.7232361,-7.1225586
android.sensor.gyroscope,1524443335833,852597195659599,4.0455017,0.9128418,-7.5167084
android.sensor.gyroscope,1524443335854,852597215740165,2.8534698,0.3844757,-7.973709
android.sensor.gyroscope,1524443335873,852597235790214,2.377304,-0.6690674,-8.4275055
android.sensor.gyroscope,1524443335894,852597255840263,2.04068,-1.6927948,-8.62352
android.sensor.gyroscope,1524443335913,852597275920829,1.5218964,-2.3639069,-8.465866
android.sensor.gyroscope,1524443335934,852597296001396,1.038269,-2.7250366,-7.9012756
android.sensor.gyroscope,1524443335954,852597316051444,0.32453918,-2.7154388,-7.0607758
android.sensor.gyroscope,1524443335973,852597336132011,-0.51382446,-2.3777618,-6.154236
android.sensor.gyroscope,1524443335994,852597356212577,-1.079483,-2.2350159,-5.3563538
android.sensor.gyroscope,1524443336014,852597376293144,-1.3074493,-2.3884125,-4.7608795
android.sensor.gyroscope,1524443336032,852597396343192,-1.1007843,-2.697342,-4.081238
android.sensor.gyroscope,1524443336053,852597416423759,-0.870697,-2.907196,-3.1714935
android.sensor.gyroscope,1524443336073,852597436473808,-1.2019958,-2.7229004,-2.3107605
android.sensor.gyroscope,1524443336094,852597456554374,-1.5471344,-2.4725647,-1.6897125
android.sensor.gyroscope,1524443336113,852597476634940,-1.3692322,-2.4757538,-1.3136749
android.sensor.gyroscope,1524443336134,852597496684989,-1.2169037,-2.603592,-0.9738617
android.sensor.gyroscope,1524443336153,852597516765556,-1.3340759,-2.491745,-0.60954285
android.sensor.gyroscope,1524443336176,852597536815605,-1.4107819,-2.1604462,-0.28996277
android.sensor.gyroscope,1524443336194,852597556865653,-1.3521881,-1.9207611,-0.084365845
android.sensor.gyroscope,1524443336213,852597576946220,-1.126358,-1.8547058,-0.027908325
android.sensor.gyroscope,1524443336233,852597596996269,-0.6320801,-1.9814758,-0.056671143
android.sensor.gyroscope,1524443336254,852597617076835,-0.4424591,-1.8770752,0.06477356
android.sensor.gyroscope,1524443336273,852597637157401,-0.6363373,-1.2262115,0.3502655
android.sensor.gyroscope,1524443336293,852597657237968,-0.61076355,-0.5082245,0.43548584
android.sensor.gyroscope,1524443336314,852597677288017,-0.28160095,-0.28877258,0.30126953
android.sensor.gyroscope,1524443336334,852597697368583,0.08378601,-0.4432373,0.18301392
android.sensor.gyroscope,1524443336354,852597717418632,0.25315857,-0.48158264,0.098861694
