Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524443811448,853072799301446,-1.3066406,9.128494,0.70269775
android.sensor.accelerometer,1524443811461,853072819351495,-1.1845398,9.231445,0.38427734
android.sensor.accelerometer,1524443811470,853072839432061,-1.1869354,9.262573,0.31724548
android.sensor.accelerometer,1524443811488,853072859482110,-1.2156677,9.281723,0.5303192
android.sensor.accelerometer,1524443811508,853072879562676,-1.1318665,9.300873,0.6572113
android.sensor.accelerometer,1524443811528,853072899612725,-1.0648193,9.3511505,0.6572113
android.sensor.accelerometer,1524443811548,853072919693292,-1.1605988,9.317627,0.6500397
android.sensor.accelerometer,1524443811568,853072939773858,-1.1917114,9.255386,0.5231476
android.sensor.accelerometer,1524443811588,853072959854424,-1.2228394,9.22905,0.5518646
android.sensor.accelerometer,1524443811608,853072979904473,-1.2683258,9.173981,0.66200256
android.sensor.accelerometer,1524443811628,853072999985040,-1.0935516,9.162003,0.68115234
android.sensor.accelerometer,1524443811648,853073020035089,-1.1246796,9.126099,0.88705444
android.sensor.accelerometer,1524443811668,853073040115655,-1.2396088,9.073425,0.9708557
android.sensor.accelerometer,1524443811688,853073060165704,-1.2874908,9.106949,0.6548157
android.sensor.accelerometer,1524443811709,853073080246270,-1.3736725,9.128494,0.49201965
android.sensor.accelerometer,1524443811729,853073100296319,-1.4790192,9.042297,0.77931213
android.sensor.accelerometer,1524443811749,853073120346368,-1.493393,8.994415,0.95410156
android.sensor.accelerometer,1524443811769,853073140426934,-1.4790192,9.1093445,0.69792175
android.sensor.accelerometer,1524443811789,853073160507501,-1.6083069,9.360733,0.89424133
android.sensor.accelerometer,1524443811809,853073180588067,-1.5245056,9.470856,1.6771393
android.sensor.accelerometer,1524443811829,853073200638116,-0.9403229,9.348755,2.311615
android.sensor.accelerometer,1524443811849,853073220718682,-0.34417725,9.03273,2.8287506
android.sensor.accelerometer,1524443811869,853073240768731,0.24479675,8.474869,3.8391113
android.sensor.accelerometer,1524443811889,853073260849298,0.18974304,7.6009827,4.897339
android.sensor.accelerometer,1524443811909,853073280929864,-0.20051575,6.3105164,6.3578033
android.sensor.accelerometer,1524443811930,853073300979913,-0.4519043,4.936249,7.356186
android.sensor.accelerometer,1524443811950,853073321029962,-0.3537445,3.4518433,7.2939453
android.sensor.accelerometer,1524443811970,853073341110528,0.16818237,1.7136536,6.906082
android.sensor.accelerometer,1524443811990,853073361160577,-0.5404968,0.15740967,6.154297
android.sensor.accelerometer,1524443812010,853073381241143,-3.684082,-1.2958679,5.5030823
android.sensor.accelerometer,1524443812030,853073401321710,-5.8292847,-2.4522705,3.3267517
android.sensor.accelerometer,1524443812050,853073421371758,-5.11821,-3.2399597,0.84635925
android.sensor.accelerometer,1524443812071,853073441421807,-2.9825745,-3.3333282,0.6093292
android.sensor.accelerometer,1524443812090,853073461502374,0.517746,-2.3804321,-0.15681458
android.sensor.accelerometer,1524443812111,853073481552423,4.6549225,-0.13467407,-2.6324158
android.sensor.accelerometer,1524443812130,853073501602471,6.122574,1.6992798,-5.1367493
android.sensor.accelerometer,1524443812151,853073521683038,6.68042,2.3457184,-7.1143646
android.sensor.accelerometer,1524443812170,853073541763604,9.251785,3.178894,-8.754395
android.sensor.accelerometer,1524443812191,853073561813653,11.358688,4.1222076,-9.925156
android.sensor.accelerometer,1524443812211,853073581894219,11.231796,4.577118,-8.728058
android.sensor.accelerometer,1524443812231,853073601944268,9.469666,4.689636,-8.498215
android.sensor.accelerometer,1524443812251,853073622024835,9.347565,5.11821,-9.360123
android.sensor.accelerometer,1524443812271,853073642105401,10.829575,5.5683136,-10.492584
android.sensor.accelerometer,1524443812291,853073662155450,11.574158,5.546768,-12.113449
android.sensor.accelerometer,1524443812311,853073682236016,11.224609,5.3073425,-12.913116
android.sensor.accelerometer,1524443812332,853073702286065,13.245316,5.843643,-12.2642975
android.sensor.accelerometer,1524443812351,853073722336114,16.934784,6.748657,-10.499771
android.sensor.accelerometer,1524443812371,853073742416680,18.704102,8.517975,-7.5596924
android.sensor.accelerometer,1524443812391,853073762466729,20.454254,10.8259735,-7.0856323
android.sensor.accelerometer,1524443812411,853073782547296,18.945908,11.422134,-10.224426
android.sensor.accelerometer,1524443812431,853073802597344,15.383347,9.779709,-13.013672
android.sensor.accelerometer,1524443812451,853073822677911,14.0234375,6.7630157,-9.36731
android.sensor.accelerometer,1524443812472,853073842758477,13.456009,3.7726593,-2.6946716
android.sensor.accelerometer,1524443812492,853073862808526,17.7919,2.6042938,1.5478516
android.sensor.accelerometer,1524443812512,853073882889092,22.374405,3.3704376,7.059311
android.sensor.accelerometer,1524443812532,853073902939141,21.70642,5.0056763,11.864471
android.sensor.accelerometer,1524443812552,853073923019708,19.774307,6.8132935,10.973831
android.sensor.accelerometer,1524443812572,853073943069757,21.301804,8.855545,8.495834
