Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524443818406,853079734612682,-0.08355713,0.07115173,0.0020751953
android.sensor.gyroscope,1524443818406,853079754662731,-0.04626465,0.05303955,-0.016036987
android.sensor.gyroscope,1524443818420,853079774743297,0.014450073,0.01576233,-0.033081055
android.sensor.gyroscope,1524443818433,853079794793346,0.05279541,0.0178833,-0.040527344
android.sensor.gyroscope,1524443818451,853079814843395,0.03149414,0.04878235,-0.03413391
android.sensor.gyroscope,1524443818471,853079834923961,0.01763916,0.06689453,-0.013900757
android.sensor.gyroscope,1524443818491,853079855004528,0.057052612,0.051971436,0.009536743
android.sensor.gyroscope,1524443818511,853079875085094,0.1028595,0.05517578,0.010604858
android.sensor.gyroscope,1524443818531,853079895135143,0.10392761,0.06689453,0.0010070801
android.sensor.gyroscope,1524443818551,853079915185192,0.077301025,0.045578003,-0.014968872
android.sensor.gyroscope,1524443818570,853079935265758,0.063446045,0.042388916,-0.02243042
android.sensor.gyroscope,1524443818592,853079955346324,0.045333862,0.051971436,-0.0043182373
android.sensor.gyroscope,1524443818611,853079975396373,0.030426025,0.06794739,0.031906128
android.sensor.gyroscope,1524443818631,853079995476940,0.016586304,0.0647583,0.06385803
android.sensor.gyroscope,1524443818651,853080015557506,0.030426025,0.03918457,0.06813049
android.sensor.gyroscope,1524443818671,853080035607555,0.0048675537,0.02960205,0.032974243
android.sensor.gyroscope,1524443818692,853080055688121,-0.06011963,0.0370636,-0.02029419
android.sensor.gyroscope,1524443818712,853080075738170,-0.07929993,0.006164551,-0.03627014
android.sensor.gyroscope,1524443818733,853080095818737,-0.055862427,-0.024719238,-0.0021820068
android.sensor.gyroscope,1524443818752,853080115868785,-0.06651306,-0.027923584,0.039367676
android.sensor.gyroscope,1524443818772,853080135918834,-0.14108276,-0.010879517,0.031906128
android.sensor.gyroscope,1524443818793,853080155999401,-0.27957153,0.021087646,0.009536743
android.sensor.gyroscope,1524443818813,853080176079967,-0.4766388,0.08073425,0.058532715
android.sensor.gyroscope,1524443818834,853080196130016,-0.81539917,0.37794495,0.23324585
android.sensor.gyroscope,1524443818853,853080216180065,-1.3043518,1.0245667,0.49102783
android.sensor.gyroscope,1524443818873,853080236230114,-1.640976,1.6583862,0.61672974
android.sensor.gyroscope,1524443818893,853080256280162,-1.7080841,1.9843597,0.43244934
android.sensor.gyroscope,1524443818913,853080276360729,-1.6452332,1.9204559,0.052139282
android.sensor.gyroscope,1524443818933,853080296441295,-1.3160706,1.6988678,-0.21736145
android.sensor.gyroscope,1524443818953,853080316491344,-0.66412354,1.6179199,-0.23760986
android.sensor.gyroscope,1524443818973,853080336571910,0.021911621,1.7350922,-0.13427734
android.sensor.gyroscope,1524443818993,853080356621959,0.60887146,1.9311066,-0.012832642
android.sensor.gyroscope,1524443819013,853080376702526,1.1255188,2.0653229,0.18637085
android.sensor.gyroscope,1524443819034,853080396752574,1.5143433,2.2442932,0.5453644
android.sensor.gyroscope,1524443819053,853080416802623,1.7465668,2.6181946,1.0300598
android.sensor.gyroscope,1524443819074,853080436913707,1.7763977,3.0006256,1.5605621
