Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524443895140,853156474319762,3.3141632,7.9792786,3.7960205
android.sensor.accelerometer,1524443895140,853156494369810,3.170517,7.909836,3.3937836
android.sensor.accelerometer,1524443895151,853156514450377,2.7587128,7.74704,3.2333832
android.sensor.accelerometer,1524443895163,853156534500426,2.5599976,7.7661896,3.3985748
android.sensor.accelerometer,1524443895184,853156554580992,2.7228088,7.8045044,3.5661774
android.sensor.accelerometer,1524443895202,853156574661558,3.012497,7.90744,3.4392853
android.sensor.accelerometer,1524443895223,853156594650572,3.1298218,7.98407,3.3985748
android.sensor.accelerometer,1524443895243,853156614761656,3.1657257,7.9361725,3.5302582
android.sensor.accelerometer,1524443895263,853156634842222,3.1010895,7.8284454,3.7433472
android.sensor.accelerometer,1524443895283,853156654922789,3.103485,7.7111206,3.7768555
android.sensor.accelerometer,1524443895303,853156675003355,3.0723572,7.6273193,3.9229126
android.sensor.accelerometer,1524443895323,853156695053404,2.9646149,7.629715,4.0881042
android.sensor.accelerometer,1524443895343,853156715103453,2.878418,7.72789,4.047409
android.sensor.accelerometer,1524443895363,853156735184019,3.012497,7.849991,3.8055878
android.sensor.accelerometer,1524443895383,853156755264586,3.0508118,7.962509,3.707428
android.sensor.accelerometer,1524443895403,853156775314635,3.0388336,8.0941925,3.5996857
android.sensor.accelerometer,1524443895423,853156795395201,3.0651703,8.3072815,3.4512482
android.sensor.accelerometer,1524443895443,853156815475767,3.0532074,8.65683,3.549408
android.sensor.accelerometer,1524443895463,853156835525816,2.976593,9.274536,3.896576
android.sensor.accelerometer,1524443895483,853156855575865,3.3261414,9.901825,4.2317657
android.sensor.accelerometer,1524443895504,853156875656431,4.3771973,10.337555,4.849457
android.sensor.accelerometer,1524443895530,853156895736998,6.2231293,10.256165,6.4440002
android.sensor.accelerometer,1524443895562,853156915817564,8.040329,8.939346,10.305847
android.sensor.accelerometer,1524443895565,853156935867613,9.165604,7.191574,14.759064
android.sensor.accelerometer,1524443895585,853156955917662,9.8647,5.245102,17.143692
android.sensor.accelerometer,1524443895605,853156975967711,8.832809,3.131012,17.366348
android.sensor.accelerometer,1524443895624,853156996048277,5.974121,0.78948975,17.002426
android.sensor.accelerometer,1524443895645,853157016098326,4.037216,-0.8385773,16.054321
android.sensor.accelerometer,1524443895665,853157036148375,3.522461,-2.1194763,13.662521
android.sensor.accelerometer,1524443895685,853157056228941,3.2638855,-3.5009308,10.626678
android.sensor.accelerometer,1524443895706,853157076309508,3.0340424,-4.8368835,7.131134
android.sensor.accelerometer,1524443895725,853157096359556,2.526474,-5.763443,3.6882782
android.sensor.accelerometer,1524443895745,853157116440123,1.1330566,-5.698807,-0.54467773
android.sensor.accelerometer,1524443895765,853157136490172,-0.36332703,-5.078705,-4.7656555
android.sensor.accelerometer,1524443895785,853157156570738,-1.6585846,-5.205597,-8.416809
android.sensor.accelerometer,1524443895806,853157176651304,-3.6697235,-5.952591,-12.498917
android.sensor.accelerometer,1524443895826,853157196701353,-5.747879,-6.6947937,-15.606598
android.sensor.accelerometer,1524443895846,853157216781920,-6.973709,-7.5351562,-18.884262
android.sensor.accelerometer,1524443895867,853157236831969,-8.570648,-7.4465637,-22.918488
android.sensor.accelerometer,1524443895886,853157256912535,-8.139694,-6.8527985,-24.673431
android.sensor.accelerometer,1524443895906,853157276962584,-5.6952057,-6.4410095,-24.072495
android.sensor.accelerometer,1524443895926,853157297012633,-4.3424835,-6.0220184,-23.648727
android.sensor.accelerometer,1524443895946,853157317089087,-3.7367554,-5.8280945,-22.762863
android.sensor.accelerometer,1524443895966,853157337169653,-1.91716,-5.67247,-19.863495
android.sensor.accelerometer,1524443895987,853157357219702,1.3652954,-5.564728,-16.011215
android.sensor.accelerometer,1524443896006,853157377300269,4.492111,-5.8999176,-11.665741
android.sensor.accelerometer,1524443896027,853157397380835,7.221512,-6.1129913,-7.815857
