Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524443900967,853162306011206,-0.026031494,0.013626099,0.025512695
android.sensor.gyroscope,1524443900967,853162326091773,5.950928E-4,-0.032180786,-0.0021820068
android.sensor.gyroscope,1524443900984,853162346141821,0.032562256,-0.05241394,-0.003250122
android.sensor.gyroscope,1524443901002,853162366222388,0.03895569,-0.034317017,0.02444458
android.sensor.gyroscope,1524443901022,853162386302954,0.014450073,-0.009811401,0.037231445
android.sensor.gyroscope,1524443901043,853162406353003,-0.008987427,-0.023666382,0.018051147
android.sensor.gyroscope,1524443901063,853162426403052,-0.030288696,-0.0332489,-0.0011138916
android.sensor.gyroscope,1524443901083,853162446483618,-0.051605225,-0.0289917,-0.007507324
android.sensor.gyroscope,1524443901103,853162466564185,-0.037750244,0.0093688965,0.0010070801
android.sensor.gyroscope,1524443901123,853162486614233,0.035751343,0.0178833,0.013793945
android.sensor.gyroscope,1524443901143,853162506694800,0.09967041,-0.026855469,0.008468628
android.sensor.gyroscope,1524443901163,853162526744849,0.07836914,-0.04496765,-0.0021820068
android.sensor.gyroscope,1524443901183,853162546825415,0.0027313232,-0.01939392,-0.012832642
android.sensor.gyroscope,1524443901203,853162566905982,-0.011123657,0.014694214,-0.019226074
android.sensor.gyroscope,1524443901223,853162586956030,0.044281006,0.004043579,-0.03413391
android.sensor.gyroscope,1524443901243,853162607006079,0.06877136,-0.049224854,-0.040527344
android.sensor.gyroscope,1524443901263,853162627056128,0.055999756,-0.10461426,-0.021362305
android.sensor.gyroscope,1524443901283,853162647136694,0.044281006,-0.09184265,0.0020751953
android.sensor.gyroscope,1524443901303,853162667217261,5.950928E-4,-0.024719238,0.020187378
android.sensor.gyroscope,1524443901323,853162687267310,-0.04840088,0.021087646,0.030838013
android.sensor.gyroscope,1524443901343,853162707347876,-0.033493042,0.035995483,0.019119263
android.sensor.gyroscope,1524443901363,853162727428442,0.01763916,-2.2888184E-4,-0.013900757
android.sensor.gyroscope,1524443901384,853162747509009,0.03149414,-0.01727295,-0.011764526
android.sensor.gyroscope,1524443901404,853162767559058,0.026168823,0.0019073486,0.02444458
android.sensor.gyroscope,1524443901423,853162787639624,0.0037994385,8.392334E-4,0.04576111
