Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524443858988,853120335505447,4.578308,8.089401,-0.69551086
android.sensor.accelerometer,1524443858988,853120355586014,4.391556,8.029556,-0.63565063
android.sensor.accelerometer,1524443859005,853120375666580,4.4250793,8.000824,-0.5326996
android.sensor.accelerometer,1524443859024,853120395747146,4.518448,7.9792786,-0.2789154
android.sensor.accelerometer,1524443859044,853120415797195,4.4466248,7.914627,-0.068222046
android.sensor.accelerometer,1524443859065,853120435877762,4.3388824,7.9409637,-0.051467896
android.sensor.accelerometer,1524443859084,853120455927810,4.336487,8.0151825,-0.39624023
android.sensor.accelerometer,1524443859104,853120476008377,4.415497,8.024765,-0.71466064
android.sensor.accelerometer,1524443859124,853120496058426,4.355652,8.089401,-0.77931213
android.sensor.accelerometer,1524443859144,853120516108475,4.2479095,8.024765,-0.75057983
android.sensor.accelerometer,1524443859165,853120536189041,4.2479095,8.029556,-0.791275
android.sensor.accelerometer,1524443859185,853120556269607,4.413101,8.04631,-0.6979065
android.sensor.accelerometer,1524443859205,853120576350174,4.518448,8.051102,-0.29566956
android.sensor.accelerometer,1524443859225,853120596400223,4.652527,8.098984,-0.096954346
android.sensor.accelerometer,1524443859245,853120616450271,4.767456,8.075043,-0.075408936
android.sensor.accelerometer,1524443859265,853120636500320,4.7506866,8.130112,-0.16400146
android.sensor.accelerometer,1524443859285,853120656580887,4.796173,8.113342,-0.30285645
android.sensor.accelerometer,1524443859305,853120676630935,4.954193,8.053497,-0.63804626
android.sensor.accelerometer,1524443859325,853120696711502,5.04039,8.036728,-1.0929413
android.sensor.accelerometer,1524443859344,853120716792068,5.160095,7.9792786,-1.5334778
android.sensor.accelerometer,1524443859365,853120736872635,5.507263,7.873932,-2.2948303
android.sensor.accelerometer,1524443859385,853120756922684,6.455368,7.3711395,-3.195053
android.sensor.accelerometer,1524443859405,853120777003250,8.100174,6.3583984,-5.084076
android.sensor.accelerometer,1524443859425,853120797053299,8.10257,5.2091827,-7.6267242
android.sensor.accelerometer,1524443859445,853120817133865,4.173691,5.269043,-9.743195
android.sensor.accelerometer,1524443859466,853120837183914,0.014953613,6.435013,-15.618561
android.sensor.accelerometer,1524443859486,853120857264480,0.09635925,7.9673004,-24.268814
android.sensor.accelerometer,1524443859506,853120877314529,5.6940002,9.102158,-27.881668
android.sensor.accelerometer,1524443859526,853120897364578,9.175171,8.5251465,-25.255234
android.sensor.accelerometer,1524443859546,853120917445144,12.242142,6.257843,-20.414154
android.sensor.accelerometer,1524443859567,853120937525711,15.072098,1.8118134,-15.608994
android.sensor.accelerometer,1524443859587,853120957575760,16.300323,-2.8808289,-7.016205
android.sensor.accelerometer,1524443859607,853120977625809,16.22371,-5.665283,4.083313
android.sensor.accelerometer,1524443859627,853120997675857,15.258835,-6.2590485,13.159729
android.sensor.accelerometer,1524443859647,853121017756424,12.613251,-5.2822113,19.123688
android.sensor.accelerometer,1524443859667,853121037836990,9.601349,-2.9598389,19.533096
android.sensor.accelerometer,1524443859687,853121057887039,8.928574,-0.4985962,18.494019
android.sensor.accelerometer,1524443859707,853121077967605,8.310867,1.3401489,18.613724
android.sensor.accelerometer,1524443859727,853121098017654,5.6509094,2.2427673,17.560272
android.sensor.accelerometer,1524443859747,853121118098221,3.5248566,2.996933,14.862015
android.sensor.accelerometer,1524443859767,853121138178787,3.9941254,3.5092926,14.112625
android.sensor.accelerometer,1524443859788,853121158228836,5.6437225,3.198059,16.643295
android.sensor.accelerometer,1524443859807,853121178278885,6.6277466,2.1709442,17.5531
android.sensor.accelerometer,1524443859827,853121198359451,6.043564,0.77033997,16.765411
android.sensor.accelerometer,1524443859847,853121218440018,6.9916687,-2.6342163,20.581757
android.sensor.accelerometer,1524443859868,853121238490066,9.13208,-6.9437866,27.771545
android.sensor.accelerometer,1524443859888,853121258540115,9.52713,-10.93013,26.433197
android.sensor.accelerometer,1524443859908,853121278620682,9.72345,-13.85585,18.503601
android.sensor.accelerometer,1524443859928,853121298701248,13.693039,-14.428055,11.234802
android.sensor.accelerometer,1524443859948,853121318751297,18.905212,-13.836685,4.028244
android.sensor.accelerometer,1524443859968,853121338831863,20.573975,-13.769653,-3.3339233
android.sensor.accelerometer,1524443859988,853121358881912,20.466232,-12.5486145,-11.95784
android.sensor.accelerometer,1524443860008,853121378931961,21.253922,-8.909424,-19.475632
android.sensor.accelerometer,1524443860028,853121399012527,20.660156,-5.2271423,-24.29036
android.sensor.accelerometer,1524443860048,853121419062576,19.831772,-3.4889526,-25.614365
android.sensor.accelerometer,1524443860068,853121439143143,18.83818,-2.4690247,-24.170654
android.sensor.accelerometer,1524443860088,853121459223709,17.861343,-1.7962494,-22.202621
android.sensor.accelerometer,1524443860108,853121479273758,17.229263,-1.9135742,-21.568161
android.sensor.accelerometer,1524443860128,853121499354324,14.94281,-2.090744,-21.32634
android.sensor.accelerometer,1524443860148,853121519434891,11.430511,-1.9710236,-20.708633
android.sensor.accelerometer,1524443860168,853121539484939,8.562256,-1.6980896,-20.040665
android.sensor.accelerometer,1524443860189,853121559534988,6.668442,-1.2288208,-18.515549
android.sensor.accelerometer,1524443860208,853121579615555,4.846451,-1.3413544,-17.493225
android.sensor.accelerometer,1524443860229,853121599665603,4.245514,-2.0021515,-16.885101
android.sensor.accelerometer,1524443860249,853121619746170,4.9757385,-2.8951874,-15.625748
android.sensor.accelerometer,1524443860269,853121639796219,6.60141,-3.6014862,-15.697571
android.sensor.accelerometer,1524443860289,853121659876785,8.756195,-4.1760864,-16.039948
android.sensor.accelerometer,1524443860309,853121679957351,9.982025,-5.27742,-15.965729
android.sensor.accelerometer,1524443860329,853121700007400,9.426559,-7.1089783,-16.396683
android.sensor.accelerometer,1524443860349,853121720087967,8.183975,-8.966888,-16.054306
android.sensor.accelerometer,1524443860369,853121740168533,6.225525,-10.537476,-15.113388
android.sensor.accelerometer,1524443860389,853121760218582,5.6341553,-11.50235,-14.6489105
android.sensor.accelerometer,1524443860409,853121780268631,8.502411,-13.683456,-10.33696
android.sensor.accelerometer,1524443860429,853121800318680,17.964294,-21.05281,3.379425
android.sensor.accelerometer,1524443860449,853121820399246,33.09085,-21.040848,28.116318
android.sensor.accelerometer,1524443860471,853121840479812,31.718979,-12.019485,38.947678
android.sensor.accelerometer,1524443860489,853121860529861,19.443909,-6.1105957,28.40123
android.sensor.accelerometer,1524443860509,853121880610428,11.705841,-3.0340576,17.181992
android.sensor.accelerometer,1524443860529,853121900660476,10.729019,-0.6973114,11.526886
android.sensor.accelerometer,1524443860550,853121920741043,9.759354,1.3592987,5.7089844
android.sensor.accelerometer,1524443860570,853121940821609,8.16243,2.4247284,0.89663696
android.sensor.accelerometer,1524443860590,853121960871658,8.500015,2.4558563,-0.8319855
android.sensor.accelerometer,1524443860610,853121980952225,9.694717,1.9387054,0.6141205
android.sensor.accelerometer,1524443860630,853122001002273,9.692322,1.2587433,3.0825348
android.sensor.accelerometer,1524443860650,853122021052322,9.304459,1.2683258,2.5390625
android.sensor.accelerometer,1524443860671,853122041132889,9.929352,1.7711029,1.109726
android.sensor.accelerometer,1524443860690,853122061182937,10.779297,2.000946,0.90859985
android.sensor.accelerometer,1524443860710,853122081263504,10.750565,1.783081,1.1049347
android.sensor.accelerometer,1524443860731,853122101344070,10.111313,1.6897125,1.1552124
android.sensor.accelerometer,1524443860751,853122121394119,9.519943,1.68013,0.25498962
android.sensor.accelerometer,1524443860771,853122141474685,9.462479,1.6849213,-0.19511414
android.sensor.accelerometer,1524443860791,853122161524734,10.140045,1.7064667,-0.046676636
android.sensor.accelerometer,1524443860811,853122181574783,10.578171,1.7471619,0.4680786
android.sensor.accelerometer,1524443860831,853122201655350,9.919769,1.8596954,-0.092163086
android.sensor.accelerometer,1524443860851,853122221735916,8.933365,1.6705475,-0.4632721
android.sensor.accelerometer,1524443860871,853122241785965,8.344391,1.0145416,1.2342224
android.sensor.accelerometer,1524443860891,853122261836014,8.734634,0.6434326,2.2541504
android.sensor.accelerometer,1524443860911,853122281916580,9.084198,0.62667847,2.2589417
android.sensor.accelerometer,1524443860931,853122301997146,8.732254,0.7775116,1.0163422
android.sensor.accelerometer,1524443860951,853122322047195,8.598175,0.8565216,0.2909088
android.sensor.accelerometer,1524443860971,853122342127762,9.438538,0.9642639,0.90382385
android.sensor.accelerometer,1524443860991,853122362177810,10.084976,1.1917114,0.69073486
android.sensor.accelerometer,1524443861011,853122382258377,10.072998,2.7958221,-5.361801
android.sensor.accelerometer,1524443861032,853122402308426,9.673172,1.8596954,-0.47763062
android.sensor.accelerometer,1524443861051,853122422388992,9.857529,0.81822205,2.3810425
android.sensor.accelerometer,1524443861071,853122442439041,9.570221,1.0815735,0.73143005
