Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524443951126,853212478691645,3.7211761,7.866745,3.063385
android.sensor.accelerometer,1524443951136,853212498741694,3.7666779,7.849991,3.149582
android.sensor.accelerometer,1524443951148,853212518761225,3.7403412,7.8451996,3.1854858
android.sensor.accelerometer,1524443951167,853212538872309,3.7092133,7.8571625,3.1328125
android.sensor.accelerometer,1524443951189,853212558952876,3.7618866,7.9002686,3.0346527
android.sensor.accelerometer,1524443951207,853212579002924,3.8432922,7.9170227,3.0107117
android.sensor.accelerometer,1524443951228,853212599022456,3.8672333,7.933777,3.051422
android.sensor.accelerometer,1524443951247,853212619164057,3.7977905,7.8882904,3.0681763
android.sensor.accelerometer,1524443951268,853212639244624,3.7187958,7.8404083,3.063385
android.sensor.accelerometer,1524443951287,853212659294673,3.704422,7.806885,3.0202942
android.sensor.accelerometer,1524443951308,853212679375239,3.680481,7.799713,2.9580383
android.sensor.accelerometer,1524443951328,853212699455805,3.57753,7.7422485,2.797638
android.sensor.accelerometer,1524443951349,853212719505854,3.4410553,7.677597,2.7641144
android.sensor.accelerometer,1524443951368,853212739586421,3.364441,7.660843,2.8838196
android.sensor.accelerometer,1524443951388,853212759666987,3.4410553,7.672821,2.9125519
android.sensor.accelerometer,1524443951408,853212779717036,3.6708984,7.806885,3.00354
android.sensor.accelerometer,1524443951428,853212799767085,3.8528595,8.106171,3.197464
android.sensor.accelerometer,1524443951448,853212819817133,4.0228577,8.855545,3.7361603
android.sensor.accelerometer,1524443951468,853212839897700,4.683655,9.80365,5.0218506
android.sensor.accelerometer,1524443951488,853212859978266,5.684433,10.136444,6.1686707
android.sensor.accelerometer,1524443951508,853212880028315,6.8887177,9.38707,6.1136017
android.sensor.accelerometer,1524443951528,853212900108882,8.516769,5.249878,3.8558655
android.sensor.accelerometer,1524443951549,853212920189448,3.953415,-4.216797,1.9429016
android.sensor.accelerometer,1524443951569,853212940208979,-21.216827,-18.962677,-3.6595306
android.sensor.accelerometer,1524443951589,853212960289546,-66.86467,-31.340698,-23.53859
android.sensor.accelerometer,1524443951609,853212980339594,-55.36772,-46.270935,-18.029526
android.sensor.accelerometer,1524443951629,853213000420161,-18.037323,-59.032043,-5.4743347
android.sensor.accelerometer,1524443951649,853213020470210,38.343735,-62.580246,-23.967148
android.sensor.accelerometer,1524443951669,853213040520258,78.961365,-48.945267,19.76773
android.sensor.accelerometer,1524443951696,853213060600825,78.961365,-18.263565,58.25453
android.sensor.accelerometer,1524443951712,853213080650874,78.04918,3.099884,36.67079
android.sensor.accelerometer,1524443951734,853213100731440,76.27507,3.6385803,5.4049225
android.sensor.accelerometer,1524443951760,853213120781489,55.25638,-7.4489594,-16.207535
android.sensor.accelerometer,1524443951770,853213140862055,31.929672,-15.424042,-16.504425
android.sensor.accelerometer,1524443951790,853213160942622,15.464737,-29.202682,-12.51329
android.sensor.accelerometer,1524443951810,853213180992671,-5.5635376,-46.373886,-11.835724
