Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524419049293,828310632026374,5.3636017,-6.4529724,-6.7743835
android.sensor.accelerometer,1524419049293,828310652076423,4.8919525,-6.5990143,-6.776779
android.sensor.accelerometer,1524419049317,828310672156989,4.8488464,-6.3739624,-6.776779
android.sensor.accelerometer,1524419049324,828310692207038,5.04039,-6.2686157,-6.657074
android.sensor.accelerometer,1524419049341,828310712257087,5.126587,-6.287781,-6.5086365
android.sensor.accelerometer,1524419049361,828310732337654,5.0379944,-6.2135468,-6.5253906
android.sensor.accelerometer,1524419049381,828310752418220,4.954193,-6.1058197,-6.566086
android.sensor.accelerometer,1524419049401,828310772468269,5.052353,-6.0268097,-6.5684814
android.sensor.accelerometer,1524419049422,828310792518318,5.167282,-5.9789276,-6.657074
android.sensor.accelerometer,1524419049441,828310812598884,5.282196,-5.84964,-6.7073517
android.sensor.accelerometer,1524419049461,828310832679450,5.1816406,-5.818512,-6.463135
android.sensor.accelerometer,1524419049481,828310852729499,5.023636,-5.799362,-6.432022
android.sensor.accelerometer,1524419049501,828310872810066,5.13855,-5.6509094,-6.542145
android.sensor.accelerometer,1524419049521,828310892860114,5.464157,-5.5671234,-6.388916
android.sensor.accelerometer,1524419049542,828310912940681,5.447403,-5.605423,-6.4727173
android.sensor.accelerometer,1524419049562,828310932990730,5.2008057,-5.6868286,-6.5182037
android.sensor.accelerometer,1524419049583,828310953040779,4.9470215,-5.739502,-6.345825
android.sensor.accelerometer,1524419049602,828310973121345,4.9039154,-5.715561,-6.1207733
android.sensor.accelerometer,1524419049624,828310993171394,5.0379944,-5.617401,-6.0226135
android.sensor.accelerometer,1524419049642,828311013221443,5.3779755,-5.521637,-6.025009
android.sensor.accelerometer,1524419049662,828311033302009,5.557541,-5.720352,-5.744873
android.sensor.accelerometer,1524419049683,828311053352058,5.6509094,-5.75148,-5.5653076
android.sensor.accelerometer,1524419049702,828311073432624,6.091446,-5.3899536,-5.799942
android.sensor.accelerometer,1524419049723,828311093482673,6.6229553,-4.956604,-5.8214874
android.sensor.accelerometer,1524419049743,828311113532722,7.140106,-4.86322,-5.222946
android.sensor.accelerometer,1524419049763,828311133613288,7.166443,-4.86322,-3.6236115
android.sensor.accelerometer,1524419049783,828311153663337,6.83844,-4.9901123,-1.2509613
android.sensor.accelerometer,1524419049803,828311173713386,6.5224,-5.8807526,1.4137878
android.sensor.accelerometer,1524419049824,828311193793952,5.526413,-7.0706787,3.9300842
android.sensor.accelerometer,1524419049844,828311213874519,3.4961243,-7.920624,7.375351
android.sensor.accelerometer,1524419049863,828311233924568,1.5688019,-8.887878,11.672943
android.sensor.accelerometer,1524419049883,828311253974616,1.5472412,-9.639664,14.076721
android.sensor.accelerometer,1524419049903,828311274024665,3.5296478,-10.130463,14.938629
android.sensor.accelerometer,1524419049923,828311294105232,6.041168,-12.158356,16.104599
android.sensor.accelerometer,1524419049943,828311314185798,6.7618256,-14.710571,15.1996
android.sensor.accelerometer,1524419049964,828311334235847,7.566269,-17.092804,13.241135
android.sensor.accelerometer,1524419049984,828311354316413,10.123276,-19.88684,13.159729
android.sensor.accelerometer,1524419050004,828311374366462,12.926895,-22.855652,12.743149
android.sensor.accelerometer,1524419050025,828311394416511,16.551712,-25.597015,11.184525
android.sensor.accelerometer,1524419050044,828311414497077,20.274689,-27.620117,9.482239
android.sensor.accelerometer,1524419050065,828311434547126,23.154922,-28.728622,8.031357
android.sensor.accelerometer,1524419050084,828311454627693,25.192383,-29.482803,6.925232
android.sensor.accelerometer,1524419050104,828311474708259,26.142883,-29.466034,5.4456177
android.sensor.accelerometer,1524419050123,828311494758308,26.633698,-28.422165,3.9516296
android.sensor.accelerometer,1524419050143,828311514838874,25.22351,-26.604965,1.6579895
android.sensor.accelerometer,1524419050163,828311534888923,22.51088,-24.296967,-1.0378723
android.sensor.accelerometer,1524419050184,828311554969489,19.946686,-21.54602,-2.0530243
android.sensor.accelerometer,1524419050204,828311575019538,18.258774,-19.582779,-1.0378723
