Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524419042815,828304144102114,-0.24737549,-0.006729126,-0.1010437
android.sensor.gyroscope,1524419042815,828304164152162,-0.0993042,0.032699585,-0.06800842
android.sensor.gyroscope,1524419042838,828304184202211,-0.0076904297,-0.022705078,0.0022888184
android.sensor.gyroscope,1524419042842,828304204252260,0.0040283203,-0.105789185,0.0065460205
android.sensor.gyroscope,1524419042860,828304224332827,0.049835205,-0.16545105,-0.0541687
android.sensor.gyroscope,1524419042881,828304244413393,0.21069336,-0.12283325,-0.050964355
android.sensor.gyroscope,1524419042901,828304264493959,0.36302185,-0.07383728,0.01826477
android.sensor.gyroscope,1524419042920,828304284544008,0.25863647,0.014587402,0.0395813
android.sensor.gyroscope,1524419042940,828304304594057,0.020019531,0.12536621,-0.012619019
android.sensor.gyroscope,1524419042961,828304324644106,-0.07798767,0.11578369,-0.08079529
android.sensor.gyroscope,1524419042981,828304344694155,-0.049224854,0.028427124,-0.10211182
android.sensor.gyroscope,1524419043002,828304364774721,-0.008743286,-0.009918213,-0.046707153
android.sensor.gyroscope,1524419043022,828304384833991,0.006164551,-0.046142578,-0.007293701
android.sensor.gyroscope,1524419043042,828304404884040,0.024276733,-0.06851196,-0.0019683838
android.sensor.gyroscope,1524419043061,828304424964607,0.023208618,-0.08128357,-0.0019683838
android.sensor.gyroscope,1524419043082,828304445014656,-0.034317017,-0.08874512,0.008682251
android.sensor.gyroscope,1524419043103,828304465095222,-0.04710388,-0.19314575,0.048095703
android.sensor.gyroscope,1524419043122,828304485145271,0.087127686,-0.404068,0.07685852
android.sensor.gyroscope,1524419043142,828304505225837,0.19258118,-0.4647827,0.11627197
android.sensor.gyroscope,1524419043163,828304525275886,0.12547302,-0.437088,0.13012695
android.sensor.gyroscope,1524419043183,828304545325935,-0.04071045,-0.35932922,0.089645386
android.sensor.gyroscope,1524419043202,828304565406501,-0.14509583,-0.24320984,0.022537231
android.sensor.gyroscope,1524419043223,828304585456550,-0.10675049,-0.22297668,-0.058425903
android.sensor.gyroscope,1524419043244,828304605506599,-0.06947327,-0.30924988,-0.13725281
android.sensor.gyroscope,1524419043263,828304625587165,-0.15681458,-0.3859558,-0.18412781
android.sensor.gyroscope,1524419043283,828304645637214,-0.3869171,-0.45732117,-0.20542908
android.sensor.gyroscope,1524419043303,828304665717781,-0.75549316,-0.6043396,-0.24697876
android.sensor.gyroscope,1524419043323,828304685767829,-1.2071686,-0.81526184,-0.36309814
android.sensor.gyroscope,1524419043343,828304705848396,-1.6183624,-1.105011,-0.5772095
android.sensor.gyroscope,1524419043363,828304725898445,-1.7515259,-1.4160614,-1.1023865
android.sensor.gyroscope,1524419043382,828304745948493,-1.5469971,-1.4150085,-1.5934753
android.sensor.gyroscope,1524419043404,828304766029060,-1.0005035,-1.5289917,-1.3740234
android.sensor.gyroscope,1524419043424,828304786079109,0.51216125,-1.6919708,-0.8999939
