Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524444296572,853557903558763,-1.8118134,-1.5759888,9.731247
android.sensor.accelerometer,1524444296572,853557923639329,-1.783081,-1.5664062,9.613922
android.sensor.accelerometer,1524444296584,853557943689378,-1.6466217,-1.5233154,9.446335
android.sensor.accelerometer,1524444296594,853557963739427,-1.493393,-1.585556,9.412811
android.sensor.accelerometer,1524444296612,853557983819993,-1.4311371,-1.6310577,9.36972
android.sensor.accelerometer,1524444296632,853558003900560,-1.517334,-1.6118927,9.336197
android.sensor.accelerometer,1524444296652,853558023981126,-1.572403,-1.6142883,9.436752
android.sensor.accelerometer,1524444296673,853558044061693,-1.5029602,-1.6190796,9.609131
android.sensor.accelerometer,1524444296692,853558064111741,-1.4024048,-1.5424652,9.489426
android.sensor.accelerometer,1524444296712,853558084161790,-1.4886017,-1.5664062,9.3146515
android.sensor.accelerometer,1524444296732,853558104211839,-1.6083069,-1.6621704,9.522949
android.sensor.accelerometer,1524444296752,853558124292405,-1.5125427,-1.6549988,9.589981
android.sensor.accelerometer,1524444296773,853558144372972,-1.2084808,-1.6980896,9.879684
android.sensor.accelerometer,1524444296793,853558164423021,-0.8134308,-1.719635,10.085587
android.sensor.accelerometer,1524444296813,853558184503587,-0.873291,-1.4993744,9.781525
android.sensor.accelerometer,1524444296833,853558204553636,-1.3209991,-1.1593933,9.226059
android.sensor.accelerometer,1524444296853,853558224634202,-1.5891571,-1.0803833,9.01059
android.sensor.accelerometer,1524444296873,853558244684251,-1.6873169,-1.3078308,9.297882
android.sensor.accelerometer,1524444296893,853558264764818,-1.8046265,-1.4251556,9.72406
android.sensor.accelerometer,1524444296913,853558284814866,-1.8190002,-1.4562683,9.838974
android.sensor.accelerometer,1524444296933,853558304864915,-1.7375946,-1.1139069,9.592377
android.sensor.accelerometer,1524444296953,853558324945482,-1.5125427,-0.26635742,9.252396
android.sensor.accelerometer,1524444296973,853558344995530,-0.8302002,0.9403229,9.5516815
android.sensor.accelerometer,1524444296994,853558365076097,-0.6434479,2.2954407,9.889252
android.sensor.accelerometer,1524444297014,853558385156663,-1.1725616,3.6242218,10.485413
android.sensor.accelerometer,1524444297034,853558405206712,-2.6593628,5.1876373,10.509354
android.sensor.accelerometer,1524444297054,853558425256761,-4.423889,7.5794373,10.234024
android.sensor.accelerometer,1524444297074,853558445337327,-5.7263336,10.406998,9.068039
android.sensor.accelerometer,1524444297094,853558465417894,-6.9521637,12.2170105,8.244446
android.sensor.accelerometer,1524444297114,853558485467943,-8.654449,12.794006,8.890869
android.sensor.accelerometer,1524444297135,853558505548509,-11.352707,13.447632,8.747223
android.sensor.accelerometer,1524444297155,853558525598558,-14.388565,14.469955,7.1957855
android.sensor.accelerometer,1524444297174,853558545679124,-16.66066,14.376587,6.659485
android.sensor.accelerometer,1524444297195,853558565729173,-17.5896,14.2017975,7.8517914
android.sensor.accelerometer,1524444297215,853558585809739,-17.017395,12.128418,8.747223
android.sensor.accelerometer,1524444297235,853558605859788,-12.652756,7.261017,8.814255
android.sensor.accelerometer,1524444297255,853558625940355,-2.1757355,1.75914,6.930023
android.sensor.accelerometer,1524444297275,853558645990403,6.867157,-8.138489,6.585266
android.sensor.accelerometer,1524444297295,853558666070970,20.265121,-14.619598,10.5763855
android.sensor.accelerometer,1524444297315,853558686121019,24.167664,-7.051529,-3.6140442
android.sensor.accelerometer,1524444297335,853558706171068,1.6071014,-12.732971,-22.980743
android.sensor.accelerometer,1524444297355,853558726251634,-3.3249512,-25.130142,-9.180557
android.sensor.accelerometer,1524444297375,853558746301683,7.7099304,-25.448578,-0.0059814453
android.sensor.accelerometer,1524444297395,853558766382249,8.191162,-22.257095,-11.30661
android.sensor.accelerometer,1524444297415,853558786462816,9.855133,-14.313141,-18.089386
android.sensor.accelerometer,1524444297435,853558806512864,13.934845,-2.3110046,-18.292892
android.sensor.accelerometer,1524444297455,853558826593431,9.120102,-0.22087097,-7.6865845
android.sensor.accelerometer,1524444297475,853558846643480,-2.5157166,-3.680481,-6.7743835
android.sensor.accelerometer,1524444297495,853558866724046,-5.2666473,-3.802597,-6.1758423
android.sensor.accelerometer,1524444297516,853558886774095,-3.746338,-2.679718,-3.5254517
android.sensor.accelerometer,1524444297536,853558906824144,-2.7479553,-1.8489227,-5.9675446
android.sensor.accelerometer,1524444297556,853558926904710,-2.300232,-1.1522064,-8.737625
android.sensor.accelerometer,1524444297576,853558946985277,-1.9602509,-0.8625183,-8.565247
android.sensor.accelerometer,1524444297596,853558967035325,-1.8285828,-0.60873413,-7.772766
android.sensor.accelerometer,1524444297616,853558987085374,-1.7280121,-0.16340637,-8.139084
android.sensor.accelerometer,1524444297636,853559007165941,-1.7208405,0.21008301,-9.072815
