Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524444262173,853523524308584,0.010482788,0.10179138,-0.048706055
android.sensor.gyroscope,1524444262185,853523544358633,0.03819275,0.047470093,0.04397583
android.sensor.gyroscope,1524444262202,853523564439199,0.045639038,-4.7302246E-4,0.11001587
android.sensor.gyroscope,1524444262221,853523584519766,0.017944336,-0.03881836,0.10362244
android.sensor.gyroscope,1524444262241,853523604569815,-0.064071655,-0.014312744,0.08657837
android.sensor.gyroscope,1524444262261,853523624650381,-0.0864563,-0.055862427,0.07913208
android.sensor.gyroscope,1524444262280,853523644700430,-0.047027588,-0.10592651,0.0844574
android.sensor.gyroscope,1524444262301,853523664750479,0.017944336,-0.121902466,0.089782715
android.sensor.gyroscope,1524444262321,853523684831045,0.033920288,-0.08995056,0.061019897
android.sensor.gyroscope,1524444262341,853523704881094,-0.02998352,-0.0036621094,0.03012085
android.sensor.gyroscope,1524444262361,853523724961660,-0.050231934,-0.011123657,0.0034942627
android.sensor.gyroscope,1524444262381,853523745011709,-0.03744507,-0.049468994,0.0024261475
android.sensor.gyroscope,1524444262401,853523765092275,-0.01828003,-0.03135681,0.017349243
android.sensor.gyroscope,1524444262421,853523785142324,0.0019683838,0.0027313232,0.010955811
android.sensor.gyroscope,1524444262441,853523805222891,0.015823364,0.045333862,-7.6293945E-4
android.sensor.gyroscope,1524444262462,853523825272940,0.012619019,0.06770325,0.0034942627
android.sensor.gyroscope,1524444262482,853523845353506,-0.015075684,0.035751343,0.035446167
android.sensor.gyroscope,1524444262502,853523865403555,-0.027862549,-0.033493042,0.0695343
android.sensor.gyroscope,1524444262521,853523885484121,-0.004425049,-0.110183716,0.07273865
android.sensor.gyroscope,1524444262542,853523905564688,0.0051574707,-0.1006012,0.051437378
android.sensor.gyroscope,1524444262562,853523925614736,-0.009750366,-0.05053711,0.02053833
android.sensor.gyroscope,1524444262582,853523945664785,-0.058746338,-0.057998657,0.0066833496
android.sensor.gyroscope,1524444262602,853523965745352,-0.010818481,-0.08248901,0.0024261475
android.sensor.gyroscope,1524444262622,853523985825918,0.26615906,0.06451416,0.06315613
android.sensor.gyroscope,1524444262643,853524005875967,0.6325989,0.39474487,0.16860962
android.sensor.gyroscope,1524444262662,853524025956533,0.9276886,0.66426086,0.23146057
android.sensor.gyroscope,1524444262683,853524046006582,1.1631012,0.8805084,0.32946777
android.sensor.gyroscope,1524444262703,853524066056631,1.3782959,1.1212616,0.62561035
android.sensor.gyroscope,1524444262723,853524086106680,1.7063904,1.2043457,1.1731567
android.sensor.gyroscope,1524444262743,853524106187246,2.116516,0.9529419,1.9507904
android.sensor.gyroscope,1524444262763,853524126237295,2.4573975,0.15931702,2.719925
android.sensor.gyroscope,1524444262783,853524146317861,2.831314,-0.78663635,3.4687958
android.sensor.gyroscope,1524444262803,853524166398428,2.9953613,-1.8359222,3.8789215
android.sensor.gyroscope,1524444262823,853524186478994,2.5213165,-3.552063,3.7116852
android.sensor.gyroscope,1524444262843,853524206529043,1.6573944,-5.82959,3.3622742
android.sensor.gyroscope,1524444262863,853524226579092,0.40356445,-7.505249,3.1566772
android.sensor.gyroscope,1524444262883,853524246659658,-0.4901886,-9.468536,2.7465515
android.sensor.gyroscope,1524444262903,853524266709707,0.54418945,-14.631882,1.4139099
android.sensor.gyroscope,1524444262923,853524286790274,2.97406,-20.84343,0.399765
